"","Gr.1.Mean","Gr.0.Mean","Gr.1.SD","Gr.0.SD","Gr.1.Skew","Gr.0.Skew","Gr.1.Kurtosis","Gr.0.Kurtosis","Gr.1.N","Gr.0.N","Pooled.SD","SMD.ES","A_C3RMSCAL","CG_GENDER_R","CR_RACE_B","CR_RACE_W","CR_RACE_H","CR_RACE_O","CA_R1_KAGE","CSES_W1SESL","CSES_W1POVD","CSES_W1MOMEDR","CSES_W1PAREDR","CSES_W1MOMSCR","CSES_W1DADSCR","CHL_W1LANGSTD","BLA_C3RRSCAL","BG_C3RGSCAL","EEXPP_P3EXPECT","EPAL_P3DOMATH","EPAL_P3DOWRIT","EPAL_P3RDBKTC","A_C3RMSCAL_1","U.TX_1","Y.R2_1","A_C3RMSCAL_2","CG_GENDER_R_2","CR_RACE_W_2","CR_RACE_H_2","CR_RACE_O_2","CA_R1_KAGE_2","CSES_W1SESL_2","CSES_W1POVD_2","CSES_W1MOMEDR_2","CSES_W1PAREDR_2","CSES_W1MOMSCR_2","CSES_W1DADSCR_2","CHL_W1LANGSTD_2","U.TX_2","Y.R2_2","A_C3RMSCAL_3","CG_GENDER_R_3","CR_RACE_W_3","CR_RACE_H_3","CR_RACE_O_3","CA_R1_KAGE_3","CSES_W1SESL_3","CSES_W1POVD_3","CSES_W1MOMEDR_3","CSES_W1PAREDR_3","CSES_W1MOMSCR_3","CSES_W1DADSCR_3","CHL_W1LANGSTD_3","BLA_C3RRSCAL_3","BG_C3RGSCAL_3","U.TX_3","Y.R2_3","A_C3RMSCAL_4","CG_GENDER_R_4","CR_RACE_W_4","CR_RACE_H_4","CR_RACE_O_4","CA_R1_KAGE_4","CSES_W1SESL_4","CSES_W1POVD_4","CSES_W1MOMEDR_4","CSES_W1PAREDR_4","CSES_W1MOMSCR_4","CSES_W1DADSCR_4","CHL_W1LANGSTD_4","BLA_C3RRSCAL_4","BG_C3RGSCAL_4","U.TX_4","Y.R2_4","A_C3RMSCAL_5","CG_GENDER_R_5","CR_RACE_W_5","CR_RACE_H_5","CR_RACE_O_5","CA_R1_KAGE_5","CSES_W1SESL_5","CSES_W1POVD_5","CSES_W1MOMEDR_5","CSES_W1PAREDR_5","CSES_W1MOMSCR_5","CSES_W1DADSCR_5","CHL_W1LANGSTD_5","BLA_C3RRSCAL_5","BG_C3RGSCAL_5","EEXPP_P3EXPECT_5","EPAL_P3DOMATH_5","EPAL_P3DOWRIT_5","EPAL_P3RDBKTC.1","U.TX_5","Y.R2_5","Adj.ES_1","Adj.ES_2","Adj.ES_3","Adj.ES_4","Adj.ES_5","ES.Diff_1","ES.Diff_2","ES.Diff_3","ES.Diff_4","ES.Diff_5"
"ES.05_1",43.730538,43.299786,8.96818451435535,8.83083301981482,-0.553920782963633,-0.700427258138209,0.101057778224668,0.615562336474788,500,500,8.89977374171318,0.0484003315703492,1.01123742816921,0.894011658717678,0.826421487163516,1.08408441806095,1.05791313281163,0.946383637970817,0.970319504731022,1.05823211548139,1.26884717290728,1.01549507430402,1.01131984630408,0.998866636066599,1.00041743901684,1.06939285537083,1.0061723875109,1.00958160937825,1.05084664351379,1.03662144006145,1.0725525572504,1.00889586106222,0.814776714354444,-0.303541125367364,0.662743312427982,0.784257786205277,-0.0165209036916686,0.0662064426199879,0.0748789580985605,0.00849740016084648,-0.00723136373332568,0.0585592235816157,0.00749231015681564,0.00388490970618566,0.00248822771385623,0.00371524722919982,-0.0169388112575662,0.0153925301190228,-0.362358018031541,0.670594518540815,0.681468012430123,-0.0169043871379412,0.0399278689704891,0.0662036851291819,0.00286675987653961,-0.0223828521851425,0.0224937141996123,-0.00244895558787422,-0.00132262056645574,0.00363460912321949,0.00596883577219352,-0.00883414196342403,-0.000156088919825047,0.0741705414172538,0.12364761868138,-0.381544355686291,0.680764862447883,0.681468012430123,-0.0169043871379412,0.0399278689704891,0.0662036851291819,0.00286675987653961,-0.0223828521851425,0.0224937141996123,-0.00244895558787422,-0.00132262056645574,0.00363460912321949,0.00596883577219352,-0.00883414196342403,-0.000156088919825047,0.0741705414172538,0.12364761868138,-0.381544355686291,0.680764862447883,0.675984153203443,-0.0161857778704394,0.0424110530068488,0.0683113530744369,0.00107027884764727,-0.0220238256887988,0.0138610781003052,-0.00675494735563697,-0.00353980781029339,0.00547111173183285,0.00952630083506381,-0.00990534360085166,0.00896577245005256,0.0752468635477627,0.126844004533097,0.0358408957163432,0.00417557023231939,-0.0259184300626257,-0.0300402203585419,-0.374060308878311,0.683226252268688,-0.0341066114911066,-0.0407154191272494,-0.0428712422090008,-0.0428712422090008,-0.0420303166950294,0.0825069430614559,0.0891157506975987,0.09127157377935,0.09127157377935,0.0904306482653786
"ES.05_2",43.766164,43.311714,9.33317635013233,9.34982635271136,-0.514120625628464,-0.514864515246549,-0.0655059730891616,-0.0641175679026391,500,500,9.34150506097719,0.0486484776311262,1.00328900524329,0.97628308509629,0.813447146729551,1.28648968280186,0.920005841723416,0.794058639702264,1.01568811031818,0.943400506724321,0.959648692998463,1.01209185678075,0.992446895646965,1.00159889025393,0.995871980563437,1.03884228141647,1.00498255486023,1.00796083241164,0.981436174082347,0.987991914457141,1.04911616699348,1.01111657329543,0.818918122328742,0.213023061343168,0.671052173497219,0.793491405324153,0.0280409160834132,0.113569150980217,0.0570381702371479,0.0107919348143227,-0.0287118776252063,-0.0523584404516001,0.0257946751258714,0.0434264917057632,0.0154961797871762,0.00113801217770588,0.00554246297712799,0.0103572017105978,0.1059324648078,0.682315764420934,0.677995680749083,0.0176166198302418,0.0869614343984394,0.0473410191405939,0.0109098262644975,-0.0458130889717697,-0.0827322358626569,0.0147975694460983,0.0337646800948099,0.00920889800288282,0.00442198448164569,0.0189708033692071,-0.0127043863593906,0.0877594600552553,0.134689274499365,0.0414056252865723,0.694606892530773,0.677995680749083,0.0176166198302418,0.0869614343984394,0.0473410191405939,0.0109098262644975,-0.0458130889717697,-0.0827322358626569,0.0147975694460983,0.0337646800948099,0.00920889800288282,0.00442198448164569,0.0189708033692071,-0.0127043863593906,0.0877594600552553,0.134689274499365,0.0414056252865723,0.694606892530773,0.675019734508078,0.0187480102738321,0.0898035195762898,0.0477506936995191,0.0116548148256502,-0.0503627895820729,-0.0824159114256123,0.0183743523474389,0.0445056769807485,0.0101820256248142,0.00355144763912874,0.0217307204587311,-0.0146547763105155,0.0898716094175368,0.146788088921809,-0.019217028716141,0.0137667133495867,0.00793604763606674,-0.0518608935578441,0.0329449190264307,0.697186560773845,0.0228039336223283,0.0113399783135929,0.00443243620982858,0.00443243620982858,0.00352672495613725,0.0258445440087979,0.0373084993175333,0.0442160414212976,0.0442160414212976,0.0451217526749889
"ES.05_3",43.600728,43.34644,9.01505322554086,9.758156308416,-0.608879520917641,-0.530634352415465,0.155577905681203,-0.0737974614184456,500,500,9.39395548208564,0.0270693213827684,0.997061425365548,1.15495867768493,0.678110143571447,1.09506928712032,1.10254314142474,1.15683764010822,0.981856789108545,1.06378613660276,0.974645707613956,1.0210764201324,1.02351210589472,0.99740762094297,0.999970449195899,0.920245806380576,1.00064495098402,1.00871068266855,1.02736940561665,0.963925035669573,0.95646870254652,0.989702068401029,0.826410924261768,0.47237877618925,0.683003544410691,0.806572972416746,-0.0173042357158937,0.00279253695902288,-0.00418642153387387,-0.0681913890408402,-0.0230913590487027,0.0489294207965162,0.0256266564627825,-0.0566269033585698,0.046583652290637,-0.00395250191902084,0.0046703582988212,-0.0362232447678154,0.462278342454777,0.692904183612697,0.7116888002036,-0.0186005103477701,-0.0209751826128604,-0.018462213348284,-0.0673076504670919,-0.0400059902706935,0.0186425692397197,0.0100140861069454,-0.0563500387059396,0.0408799166273075,-0.00465887957834982,0.0116537773615337,-0.0630908589400661,0.0379145458525362,0.148739955554667,0.348750236583596,0.70286208057734,0.7116888002036,-0.0186005103477701,-0.0209751826128604,-0.018462213348284,-0.0673076504670919,-0.0400059902706935,0.0186425692397197,0.0100140861069454,-0.0563500387059396,0.0408799166273075,-0.00465887957834982,0.0116537773615337,-0.0630908589400661,0.0379145458525362,0.148739955554667,0.348750236583596,0.70286208057734,0.706132260696299,-0.0180415731625826,-0.0149446583679672,-0.0131236711404648,-0.0632840082991994,-0.042076548484699,0.00962708997638711,0.00719670512024214,-0.0487867762206722,0.045257887295839,-0.00293602016794287,0.0140816300143872,-0.0627794328866086,0.0431393920049376,0.157680042139535,0.000852590199023576,-0.0057324851075921,-6.32482002443299e-05,-0.0455769207389002,0.325943863975684,0.704965529917909,0.0502853965073691,0.0492101908867192,0.0371249616041577,0.0371249616041577,0.0346971906133963,-0.0232160751246007,-0.0221408695039508,-0.0100556402213893,-0.0100556402213893,-0.00762786923062788
"ES.05_4",43.488684,43.28273,9.42417869122569,9.37096484987192,-0.588823240394799,-0.650848533163653,0.195129347657417,0.288948118227128,500,500,9.39760943595996,0.0219155734661536,0.999333065451022,1.04917307282532,0.829602607757648,0.980067770086177,1.32266430813008,0.942247931131341,1.00476682967971,0.870959563322517,0.897775907804886,0.961878617102745,0.952228177369228,0.99666040804785,0.997071361593433,0.915671903237895,0.999698546441311,1.00151890500573,0.923719952354483,1.0079138512777,1.02751453792158,1.07661564264177,0.802423068275153,0.254663234215329,0.643996350829036,0.761869316085625,0.00988050375936701,0.0672269293849159,0.0254450044353922,-0.0164490727146036,-0.0193886191991922,-0.0921071739032419,0.0718939589815021,0.0271247481370967,0.0651243887270988,0.0146887831604913,0.0239839704029131,-0.00378211174895432,0.288161534309153,0.656186420974259,0.627764089250639,-0.00052756294148743,0.0373403494444789,0.0103323821755055,-0.0249434669868308,-0.0390605166981093,-0.123096953674131,0.0551034844653916,-0.0114554708728559,0.0904193792520905,0.0229011302602943,0.028535490863428,-0.0324379727122589,0.0782449328725229,0.176568922033995,0.235289622900024,0.673290901045824,0.627764089250639,-0.00052756294148743,0.0373403494444789,0.0103323821755055,-0.0249434669868308,-0.0390605166981093,-0.123096953674131,0.0551034844653916,-0.0114554708728559,0.0904193792520905,0.0229011302602943,0.028535490863428,-0.0324379727122589,0.0782449328725229,0.176568922033995,0.235289622900024,0.673290901045824,0.617605083748917,0.00280250974195116,0.0381084176496043,0.00922210013572225,-0.0245600586179271,-0.0391729315087393,-0.131560296052768,0.0517545147472775,-0.0167165085547293,0.0990491650072672,0.0231189217056174,0.0277412150757167,-0.0218786926155051,0.0806412433856339,0.184650926857296,0.0276246172408608,0.00605631001535394,-0.0256088909641627,-0.0416156062824146,0.285553744096645,0.676097114980617,0.0270987250481872,0.0306632805154152,0.0250371782849039,0.0250371782849039,0.0303857854534765,-0.00518315158203365,-0.0087477070492616,-0.00312160481875032,-0.00312160481875032,-0.00847021198732291
"ES.05_5",43.153672,43.774508,9.63220644517241,9.3010608687668,-0.530299324948949,-0.517661067506875,0.0811962393467556,-0.216908293161226,500,500,9.46808149222761,-0.0655714677265559,0.999591045404692,0.901194783084629,1.34168341853013,0.925607917061344,0.814214209176884,1.09586630308588,1.01291587908202,1.03206689171884,0.963692394143783,1.00651531259579,0.997330758938394,1.00535914608036,1.00482522692926,1.33104216557473,0.996703613786153,0.992714826014677,0.957720382145628,0.940410394480437,1.06043379049303,0.891903012565314,0.830161697873018,-0.590373046411719,0.690241753899269,0.810288361984187,0.00858014015499275,0.0641963361614234,0.00655582751739071,-0.0203318847259843,-0.0393858290065183,-0.0648499552858222,0.0025552447992104,0.0456251596449394,0.0229638912577277,-0.000874373581725381,0.0513642968439981,-0.0403784541247347,-0.519356450226623,0.699172268513082,0.701321013297445,0.00049370711362336,0.0441615333337425,0.00546480412025,-0.020244770251679,-0.0495736923609392,-0.0985186447195787,-0.00886462719085027,0.0361079389235674,0.0230970857232149,0.00284306303018378,0.0600779861059695,-0.0541287668548837,0.0708681598735444,0.130551743745251,-0.420056874014036,0.709202385632885,0.701321013297445,0.00049370711362336,0.0441615333337425,0.00546480412025,-0.020244770251679,-0.0495736923609392,-0.0985186447195787,-0.00886462719085027,0.0361079389235674,0.0230970857232149,0.00284306303018378,0.0600779861059695,-0.0541287668548837,0.0708681598735444,0.130551743745251,-0.420056874014036,0.709202385632885,0.693696737229012,0.000220736897971471,0.058509538239743,0.0118548005405066,-0.0148310211006571,-0.0515054759307252,-0.0941316098316401,-0.0111454108829381,0.035624484021702,0.0232413812912459,0.00200095459248307,0.0594592437378569,-0.0468492244747417,0.0700245718162349,0.13658502379544,0.0184510444995532,0.0241285871627606,0.00429153991151992,-0.0487911444141038,-0.441628581435198,0.711416893540884,-0.06235403095087,-0.0548533988277314,-0.0443655744153514,-0.0443655744153514,-0.0466439353946978,-0.00321743677568598,-0.0107180688988246,-0.0212058933112045,-0.0212058933112045,-0.0189275323318582
"ES.05_6",43.641554,43.101504,8.98049378198217,9.31753853282106,-0.540199541612162,-0.691800772340543,-0.0452119331799068,0.541168416061551,500,500,9.15056809380777,0.0590181936753692,1.00299298671879,1.09206869998992,0.780348439648548,1.13828243763398,0.957692078145755,1.03443146648676,1.01108145777522,0.958046358900722,0.870322265650746,0.988488292592672,0.982667013154726,1.00336205258445,0.998640454966666,0.819206470389138,1.0022362228976,0.993439239415308,1.08772423617956,0.911086655117289,0.975175035653802,0.938594911680739,0.81756028129685,0.329538239582707,0.669144123985746,0.795514179105456,0.00817496225856899,0.0712199043266265,0.076312810680687,-0.00967892035182562,0.00742772149022267,-0.0926463063171337,-0.00332502379648183,0.0878324747877706,0.0168036583231498,0.011771339784016,0.0647921566109666,-0.00934739282238577,0.295802487637446,0.680239049393286,0.68066615768823,0.00268939607842989,0.0523942093569772,0.0648611992662171,-0.0123315808339784,-0.00950487003159941,-0.127356875008008,-0.0159432888598434,0.094721790543779,0.00372208385331675,0.0118739663247217,0.0747504333565239,-0.0268621468188754,0.0898860157325829,0.116013031172732,0.345171870763717,0.689723586506001,0.68066615768823,0.00268939607842989,0.0523942093569772,0.0648611992662171,-0.0123315808339784,-0.00950487003159941,-0.127356875008008,-0.0159432888598434,0.094721790543779,0.00372208385331675,0.0118739663247217,0.0747504333565239,-0.0268621468188754,0.0898860157325829,0.116013031172732,0.345171870763717,0.689723586506001,0.680480213962506,-0.00239666805370163,0.0643209382485704,0.0679904856361608,-0.00802806832400582,-0.00531318218585887,-0.13729395441068,-0.0157702464367287,0.0970457488379174,-0.00205943438736207,0.0129305101592,0.0750285937551886,-0.0171437590979044,0.0809050024527776,0.116011309596435,0.04200356218808,0.00491560340221956,0.0250833906056017,-0.0211514675038549,0.305196074231058,0.691791582939731,0.0360128722287425,0.0323261337006624,0.037721359725993,0.037721359725993,0.0333526914506636,0.0230053214466266,0.0266920599747067,0.0212968339493762,0.0212968339493762,0.0256655022247056
"ES.05_7",43.739834,43.302052,9.67604238306353,9.38202801256493,-0.614096137996976,-0.667350554855397,0.107595985569759,0.317125281481021,500,500,9.53016909155852,0.0459364357331054,1.00453467992511,0.908131861401654,0.704901211083675,1.05827505827506,0.88073941562977,1.48774536944034,1.01929479335676,1.05004752879824,1.11255505663322,1.01727959037164,1.00712186500121,0.997160542826414,0.99774148913687,1.1213252831784,1.00034834723052,1.00168456994954,1.04174609712997,1.04700628328802,0.952684113777273,0.8733921732491,0.839876176301709,0.0825243180212985,0.705572399444448,0.802136134550176,-0.0200638876414286,0.0895773832804738,0.0708535833149224,0.00559175633951424,-0.0180349888393718,-0.0113482596713698,0.0016647555447722,0.0571677425910674,0.00874869751542372,0.0399792832889441,0.0112866800540157,-0.0102761400127332,0.110393800114275,0.717303565866828,0.674272290083926,-0.0226969431341215,0.0532857208672388,0.0490310329748218,0.00352192153230586,-0.0412118047173951,-0.064885521325957,-0.0113440364232489,0.0526343727802389,0.00566078629134491,0.0461749968953056,0.0298162396967652,-0.046047740200462,0.0596326612531475,0.189086119453235,0.205648468228989,0.733695860024738,0.674272290083926,-0.0226969431341215,0.0532857208672388,0.0490310329748218,0.00352192153230586,-0.0412118047173951,-0.064885521325957,-0.0113440364232489,0.0526343727802389,0.00566078629134491,0.0461749968953056,0.0298162396967652,-0.046047740200462,0.0596326612531475,0.189086119453235,0.205648468228989,0.733695860024738,0.665801005426318,-0.0211442887130207,0.0597787002520037,0.0536681514074183,0.00653407669448885,-0.0435332900613405,-0.0771429207287326,-0.0133211379132386,0.0534779927738595,0.00975692425983364,0.0472800366639604,0.0350278017858055,-0.0397786948808164,0.0630009776547159,0.197652948515561,0.0175969692192734,-0.0102337683748918,-0.000977271223151539,-0.0401170750165242,0.162662857994718,0.735562869875291,0.0086592711239925,0.0115836140003075,0.0215786799009836,0.0215786799009836,0.0170682027183336,0.0372771646091129,0.0343528217327979,0.0243577558321218,0.0243577558321218,0.0288682330147718
"ES.05_8",43.439488,43.33379,9.11508186362675,9.29704152707798,-0.594207437852997,-0.545523929406891,0.377061928552869,-0.069978727365382,500,500,9.20651124305048,0.0114807875871319,1.00717669064832,1.15502273666701,0.860950511399623,1.01310873347034,0.916831095733763,1.30701319645681,0.965038024974354,1.0383711412826,1.09132711055712,0.996917348265875,1.01395648272487,0.998209363446812,1.00399947372897,0.851050598464089,1.00146637026063,1.004019435674,1.05708551921135,0.966008663009476,1.00423543657237,1.05153283297699,0.811313614049165,-0.396124700738713,0.65751857017332,0.785627686088194,-0.0225979584844993,0.0503507181354369,0.0244325450245836,0.015869215795967,0.00188278597823017,-0.0126316365999356,-1.54455714680444e-05,0.000977020659423315,0.0450566059892386,-0.00173260112212534,0.016944927745458,-0.0179742723068159,-0.399727153782863,0.661488922174762,0.683734116632971,-0.0289077783824979,0.0284647429708594,0.0206100116599882,0.0143759644776876,-0.0167132690849764,-0.0319418993659768,-0.0161118868506684,-0.0113169660156897,0.0424848260504257,0.00200667216241771,0.0196012157071743,-0.0405351253509808,0.0515061358354019,0.147144171437219,-0.409400236983597,0.671928064440904,0.683734116632971,-0.0289077783824979,0.0284647429708594,0.0206100116599882,0.0143759644776876,-0.0167132690849764,-0.0319418993659768,-0.0161118868506684,-0.0113169660156897,0.0424848260504257,0.00200667216241771,0.0196012157071743,-0.0405351253509808,0.0515061358354019,0.147144171437219,-0.409400236983597,0.671928064440904,0.679716817070552,-0.0325944322551354,0.0324670735118006,0.0234346505548249,0.0166644480860691,-0.0229394520199197,-0.0262518880858217,-0.0215615388165784,-0.00610232874028067,0.0504313999864646,-0.000934465652565326,0.0237044823012393,-0.0422163885657349,0.0536175269648608,0.164393959751974,-0.0152660600938222,-0.0147193785649972,0.0522329836126147,-0.0700464526863802,-0.395702075209314,0.676650559838936,-0.0430265808927054,-0.0434178749398256,-0.0444685534156744,-0.0444685534156744,-0.0429806758241901,0.0545073684798372,0.0548986625269574,0.0559493410028063,0.0559493410028063,0.054461463411322
"ES.05_9",43.932708,42.760542,9.19228150293464,9.30022621571987,-0.692200728210472,-0.582642603117674,0.398647136245989,0.0985564326303665,500,500,9.24641138206487,0.126769830106589,1.01574734438916,1.05762075664285,0.616941102842305,1.20958511732517,1.12869795728424,0.957460740672142,1.01388285235846,0.956758109111586,1.18427768526062,0.986549532639876,0.985039747856867,1.00306209139689,1.00164642520558,1.0510946343739,1.0087680546361,1.01868045312967,0.938830003162041,0.944853942007822,0.832369498526175,0.931959839725654,0.815783690676849,0.0734145214050756,0.665989550917243,0.792589982456467,0.00131160434098771,0.0893619595848618,0.0769586986557744,0.0200276769218388,-0.000447802813828796,0.110331198937746,-0.0233016197288534,0.00730106922262533,-0.0842945348991542,0.0146774612446381,-0.00749725730529814,0.00725954674578859,0.0112057972324067,0.673944490685076,0.649599204111147,-0.00960951814031812,0.0537473079339829,0.057953870205279,0.00623927513740357,-0.0248438624029788,0.0585807184206243,-0.0333320454015477,0.00330171551249041,-0.0745464179957595,0.0120654601797197,0.000697922065798086,-0.0274833441403507,0.103542493488322,0.169609904046803,-0.081684867182527,0.69183781238449,0.649599204111147,-0.00960951814031812,0.0537473079339829,0.057953870205279,0.00623927513740357,-0.0248438624029788,0.0585807184206243,-0.0333320454015477,0.00330171551249041,-0.0745464179957595,0.0120654601797197,0.000697922065798086,-0.0274833441403507,0.103542493488322,0.169609904046803,-0.081684867182527,0.69183781238449,0.651805739357929,-0.0113644364378682,0.0523218199398653,0.0582841140204989,0.005686109357917,-0.0257750288392033,0.0460829486889954,-0.0330708783378741,0.0104326557340311,-0.0770982362758927,0.0116538960517669,0.00355343482949192,-0.0271718151759601,0.10554402737894,0.166917924701056,0.0149740720204125,-0.0308150803899501,-0.000235440443410945,-0.00845871837921623,-0.0943752936435567,0.693027644224608,0.00793978532552387,0.00121190770877255,-0.00883422376609481,-0.00883422376609481,-0.0102066942237304,0.118830044781065,0.125557922397817,0.135604053872684,0.135604053872684,0.13697652433032
"ES.05_10",43.773782,43.739916,9.75545177781401,9.3904711117358,-0.564686656147553,-0.677225765895714,0.000171538841739594,0.408222862868439,500,500,9.57470070262249,0.00353702962127343,0.996699376800333,1.10111223458032,0.997429249885677,1.3534407946596,0.712691182575088,0.743980379108889,1.00590913062617,1.03866108655473,1.0883638671988,0.991548851193317,1.00943755835071,0.99808596806653,1.00392013003882,1.02505356842356,1.00235209879714,0.996017476917671,1.08121753343435,0.920170732431278,0.935341610289554,0.902992721898711,0.814212144448415,0.281276034581199,0.66277728998537,0.79301729236799,0.0166070326236052,0.0493955930608192,0.0220919685392917,0.0145401099982693,-0.023552671297431,0.0284000460982008,0.0505419841059535,0.108332168218275,-0.110444243613716,0.00267927839075787,-0.00974157663596944,-0.015790739131346,0.272612273256731,0.671586973285994,0.683640312880144,0.0160534792906361,0.0167763482140505,0.00529104295277892,0.00765416277941397,-0.0477093827185809,-0.0267461448577415,0.0424302104909889,0.0951568678516476,-0.0898659309471767,-0.000477015596488999,0.0025554465857677,-0.0436664125043564,0.0404724608156822,0.171220684770488,0.311796404621023,0.684477042100278,0.683640312880144,0.0160534792906361,0.0167763482140505,0.00529104295277892,0.00765416277941397,-0.0477093827185809,-0.0267461448577415,0.0424302104909889,0.0951568678516476,-0.0898659309471767,-0.000477015596488999,0.0025554465857677,-0.0436664125043564,0.0404724608156822,0.171220684770488,0.311796404621023,0.684477042100278,0.683307460966658,0.0150421310291487,0.0146679961971579,0.00462322627553383,0.0079863231655049,-0.0486619552695967,-0.0245437431414351,0.0417208960883013,0.0941639960298539,-0.0873578961012327,-0.000457882438083968,0.00350226911702255,-0.0443858643311824,0.0413119181923995,0.174960114856029,-0.00413973177108326,-0.00929218452685553,0.0143055885115404,-0.0155723354342933,0.30650719325382,0.684809183724298,0.0293770054351838,0.0284721456809677,0.0325646110834172,0.0325646110834172,0.0320121957618862,-0.0258399758139104,-0.0249351160596942,-0.0290275814621438,-0.0290275814621438,-0.0284751661406127
