"","Gr.1.Mean","Gr.0.Mean","Gr.1.SD","Gr.0.SD","Gr.1.Skew","Gr.0.Skew","Gr.1.Kurtosis","Gr.0.Kurtosis","Gr.1.N","Gr.0.N","Pooled.SD","SMD.ES","A_GMTHIMP","CG_GENDER_R","CR_RACE_B","CR_RACE_W","CR_RACE_H","CR_RACE_O","CA_GAge","CSES_MOTHEMP","CSES_FATHEMP","CSES_MOTHED","CSES_FATHED","BS_GSCIIMP","CHL_HM208_R","DAL_Persist","DSE_SelfEsteem","DLC_Control","DFS_FeelSchool","DEXP_SEDEX10","EEXP_HK76","EPAL_PCOPH10","EPEL_KMHSCPH10","A_GMTHIMP_1","U.TX_1","Y.R2_1","A_GMTHIMP_2","CG_GENDER_R_2","CR_RACE_W_2","CR_RACE_H_2","CR_RACE_O_2","CA_GAge_2","CSES_MOTHEMP_2","CSES_FATHEMP_2","CSES_MOTHED_2","CSES_FATHED_2","U.TX_2","Y.R2_2","A_GMTHIMP_3","CG_GENDER_R_3","CR_RACE_W_3","CR_RACE_H_3","CR_RACE_O_3","CA_GAge_3","CSES_MOTHEMP_3","CSES_FATHEMP_3","CSES_MOTHED_3","CSES_FATHED_3","BS_GSCIIMP_3","U.TX_3","Y.R2_3","A_GMTHIMP_4","CG_GENDER_R_4","CR_RACE_W_4","CR_RACE_H_4","CR_RACE_O_4","CA_GAge_4","CSES_MOTHEMP_4","CSES_FATHEMP_4","CSES_MOTHED_4","CSES_FATHED_4","BS_GSCIIMP_4","CHL_HM208_R_4","DAL_Persist_4","DSE_SelfEsteem_4","DLC_Control_4","DFS_FeelSchool_4","DEXP_SEDEX10_4","U.TX_4","Y.R2_4","A_GMTHIMP_5","CG_GENDER_R_5","CR_RACE_W_5","CR_RACE_H_5","CR_RACE_O_5","CA_GAge_5","CSES_MOTHEMP_5","CSES_FATHEMP_5","CSES_MOTHED_5","CSES_FATHED_5","BS_GSCIIMP_5","CHL_HM208_R_5","DAL_Persist_5","DSE_SelfEsteem_5","DLC_Control_5","DFS_FeelSchool_5","DEXP_SEDEX10_5","EEXP_HK76_5","EPAL_PCOPH10_5","EPEL_KMHSCPH10_5","U.TX_5","Y.R2_5","Adj.ES_1","Adj.ES_2","Adj.ES_3","Adj.ES_4","Adj.ES_5","ES.Diff_1","ES.Diff_2","ES.Diff_3","ES.Diff_4","ES.Diff_5"
"ES.05_1",66.57018,66.18892,13.1549673545699,13.484071224492,-0.179526454943199,-0.247617904309774,-0.465509404985947,-0.429199852109076,500,500,13.3205357040731,0.02862197200398,1.00374899740499,0.984084542908074,0.898004283822584,1.11102886750431,1.06959910913126,1.64102564102564,1.00614002065837,1.00000000000006,1.25252525115185,1.1109176732447,1.05681245985346,1.00605350354169,1.32537960522029,1.16077309924111,1.03515413151488,1.04457717909186,0.722063906629705,1.00089466549382,0.97843615030434,1.07041749860178,0.940163642417604,0.907720189059777,-0.208743231817675,0.823669770164606,0.896548826147363,0.00994921571289251,0.0202998091347229,-0.000431128262048831,-0.000576161170700414,0.0494534742054689,0.0085328602440527,0.0373436378402178,0.0162438054857231,0.0193892128063883,-0.272587706313473,0.827903745086451,0.823088032515917,0.0184009319289733,0.00794021956818738,-0.00382000021608358,-0.000782885827851663,0.0492230817833478,0.00548071473277271,0.0380320549878643,0.00600951528771104,0.0196247612675953,0.102153537486987,-0.289085503667277,0.831702148666289,0.802616805042786,0.00776286976006742,0.0200682363874002,0.00394880131111802,0.00520413991062961,0.0533600296816346,0.0014310435629799,0.0382230861233812,-0.00529339523866279,0.00888723278698866,0.0915883196178234,-0.00915222788770254,0.0101202417329399,0.00920275169620615,0.000961913273049649,0.00435534792461625,0.0787743779500737,-0.256820243862097,0.835612406713183,0.797955277119544,0.00404483903057451,0.0147826288527121,-0.00114324747957585,0.00289020009294892,0.066027618856525,0.00357243279258769,0.0433540019980438,-0.00490114295941664,0.00904696468628897,0.0893887331258436,-0.00923161136968722,0.010971088947852,0.00774896351074783,0.00153480583141024,0.00250164590332521,0.0514261164329571,0.064327204998852,-0.0347879993150701,-0.00177091380436661,-0.197799006551182,0.837160837254219,-0.0156707835521844,-0.0204637195056743,-0.0217022430696147,-0.0192800236843002,-0.0148491780620128,0.0442927555561645,0.0490856915096543,0.0503242150735948,0.0479019956882802,0.0434711500659929
"ES.05_2",66.4765,65.62116,12.8054310540082,13.3020436845912,-0.218869596803849,-0.238311654926169,-0.329968291249041,-0.390023285722089,500,500,13.0560987792244,0.0655126783630851,1.0022754984285,1.04919323101141,1.42372880108053,1.10601206181601,0.846743295076058,0.803613511863005,0.9798719176242,3.535489017779,4.02419023128402,1.033102104268,0.977094920813927,0.995056354441505,0.708067949429802,1.0400991597939,1.07430825581949,0.902974571115836,0.923325462062674,0.989591113411878,0.991372068589592,0.991354792721859,1.0597228170479,0.886287615369453,0.514570520639021,0.786409244686636,0.862112322120687,-0.0144323022655831,0.0684916696039919,0.00351958948462145,0.0522038370542604,0.0251091323054965,0.0260472302367303,-0.00706673458941885,-0.00298231605134483,0.0344240570563024,0.531140288852185,0.79329754164444,0.764628299997136,-0.00179425735158675,0.0517199444971938,6.28600714765329e-05,0.0542599794832165,0.0252909287897326,0.0237344169365868,-0.00560986452376205,-0.0155391669383048,0.0351642155460217,0.138528114980006,0.675937870312104,0.800795081969913,0.741668922137039,-0.00725257476085028,0.0540932695308429,0.00590007425885235,0.0497305453956758,0.027317428162841,0.0270975063959079,-0.0111642227263971,-0.0282107825188208,0.0157245327027699,0.118088136927204,0.0177028197283968,-0.0146598075886644,-0.00288269016765921,0.0232177374766407,-0.0502968578430375,0.0942116858659969,0.702658908088745,0.809168339529553,0.736219932741211,-0.00931301004805003,0.0579223407289709,0.00657937858844605,0.0528175943015807,0.0373836530616321,0.0282238653525123,-0.0104106321972868,-0.0328269890382735,0.0122002974130874,0.113212121606731,0.0158828853556544,-0.0134462209276972,-0.00284342218565126,0.023841311787373,-0.0518831795146384,0.0617668979429167,0.0391166266776138,0.0280999789626932,0.00810269300947136,0.699939283943922,0.810911221290951,0.0394122723288394,0.0406813932579435,0.0517718103808844,0.0538184430104691,0.0536101400410437,0.0261004060342457,0.0248312851051416,0.0137408679822007,0.011694235352616,0.0119025383220413
"ES.05_3",66.09496,65.33886,12.8706747272343,12.6364106394219,-0.243349587742838,-0.299772138350853,-0.446061460831246,-0.248838305896904,500,500,12.7540805584402,0.0592829876317225,1.00289145118703,0.831605458915969,0.763334616389821,1.0219216520157,1.82246171298921,0.919006479482349,0.963942785853225,3.0366598777915,0.999999999999825,1.07245452527668,1.027939920876,1.00088947431114,0.974063699553906,1.10844465205862,1.22129921775311,0.973651031266148,0.874623131711936,0.972314464520654,1.03289698091696,0.947284990758048,0.908108695183784,0.901504486951924,0.339575890896837,0.813323007219416,0.8907811117421,0.011697643129493,0.0339971551576758,0.00680400558267575,0.0406102600999302,0.0409014025565431,0.0352592552590763,0.0010177762818005,0.0167437673171098,0.0160654369687798,0.322746029335335,0.818106675005069,0.807630699808581,0.0205148554743146,0.0264595128684193,0.0054924933368918,0.0411670393147887,0.0440943949829887,0.030038635594981,-0.00108835504702797,0.0100651798388505,0.0124519420473988,0.119845498669378,0.379928959949883,0.824533197076543,0.788580073750654,0.0144223004162947,0.0337745056004917,0.010118107156448,0.040275414147353,0.0495145476058481,0.0320833716719055,-0.000511963682738164,0.00280553065314358,0.000103171585327701,0.107976749550609,0.0102765200085921,0.0148515550523981,-0.000702748347921036,0.0345318368220354,-0.00631822953190211,0.0567873172926672,0.402359059309067,0.828022083529683,0.789143316004375,0.0125046966275165,0.0315259716083319,0.0078005872013278,0.041645220627853,0.060687560592911,0.0363312232902032,0.00221047123979368,0.00347877073750132,-0.000296680163530369,0.103633994809666,0.00996741631114632,0.0155534531773315,-0.0024267012540773,0.0344754842214252,-0.00304195508438079,0.0391033604112483,0.0423174899943818,-0.0207776703845301,-0.0182468107411902,0.340930378292821,0.828996911555811,0.0266248820791804,0.0253053152562811,0.0297888160741198,0.0315474767048417,0.0267310823959949,0.0326581055525422,0.0339776723754414,0.0294941715576027,0.0277355109268809,0.0325519052357277
"ES.05_4",66.74148,66.00804,13.4484568852634,12.6891721533864,-0.244054206737673,-0.177145836878502,-0.171310400223083,-0.453578915563725,500,500,13.0743275646028,0.0560977225311153,1.00430427987149,0.901194783084628,0.861751152094351,1.33091544311179,0.920280612245404,0.879051765859948,1.00433954824328,0.887082204167378,1.00000000000012,1.08345318414359,1.11076515962472,1.0094739512353,1,1.02407239170716,1.1303093662455,1.02879865753157,0.857415726839118,0.981104281681384,1.03124769517995,0.997916538448619,0.956746050703495,0.903158375007301,0.0632067785001204,0.815824965014126,0.878916879844835,-0.0208201894511264,0.0422463742122706,0.0104341934167144,0.0270040495050148,0.0155975942756264,0.030663711781468,-0.024342812982038,0.0322141341717044,0.0224126500751356,-0.0585412736689543,0.821138736321356,0.780667798321719,-0.00630582678265275,0.0270322041126976,0.0133553241081523,0.0280508418125538,0.0147316948288506,0.0255302908196716,-0.0243516658953157,0.0225286870589022,0.019963172907266,0.140154807786927,-0.124112908527168,0.828855396579991,0.754291688413739,-0.0152770741301547,0.0393748847766046,0.0165388590463813,0.0295025633021711,0.0154462192136542,0.0258277970605806,-0.0254011215135884,0.0171387684644221,0.00477178677886782,0.133234215330613,0.0147439323240781,0.0267363615156349,-0.0352983591290259,0.00803827152680359,0.00215504355941192,0.0654200121076525,-0.0373578395986663,0.833562321956925,0.750209300800466,-0.0151537692638295,0.038952337964137,0.0145696190606196,0.0301793318208958,0.0196010544195917,0.0260219974952593,-0.0251751526733215,0.0171979587040332,0.000442203135601475,0.132472597394395,0.0135094102049246,0.0287605115107685,-0.033371365160995,0.00739521151821356,-0.000146199543526227,0.0427234877776186,0.0368006216766266,0.000271414808230465,0.011419950758528,-0.0552927943810031,0.834250278439345,0.00483441906956999,-0.0044775743440487,-0.00949287127111521,-0.00285734309577865,-0.00422911190711649,0.0512633034615453,0.060575296875164,0.0655905938022305,0.058955065626894,0.0603268344382318
"ES.05_5",66.68938,65.83126,13.3263875159042,13.2333676534472,-0.258251960350373,-0.192175266208605,-0.30102614949201,-0.431682389242002,500,500,13.2799590299698,0.0646176692310137,0.999378326533694,1.20224402939858,1.33019967088032,0.948457859145639,0.874874874886742,0.972249972249974,1.00438987097571,1.60975587835247,2.51515151514614,1.08694626562317,1.00498492363451,1.00445124922429,0.866029562833872,1.00876438763709,1.14193389462941,0.991619246771665,1.00082949146763,1.06048791830856,1.01739823884517,1.01055824284598,0.918972691309605,0.908951902561114,0.956445165720056,0.827224702977486,0.896360026708772,-0.00205630161435259,0.0478655759326766,0.00754773220975184,0.0465294458859848,0.0381866320695401,0.0154808494704899,-0.00805460140980543,0.022684667508445,0.00273429446071966,0.948653824775518,0.832080068692214,0.800747525276789,0.00810264797809137,0.0294236657404768,0.00426315599192007,0.0464981254283093,0.0323511248392522,0.0206463425909278,-0.0128847900191989,0.018090639263786,-0.000288197073490254,0.134001543549172,0.838265955741527,0.839369965769976,0.78020377633566,0.00619705751297187,0.0366106569901055,0.00938121039772013,0.0403828200944146,0.0332010901823902,0.0234740465374714,-0.0134737042022234,0.00819023751066109,-0.0103972517673675,0.1269194093913,0.0264843186075761,-0.00063981516025217,-0.00210181813877356,0.0127758091659576,-0.0265949383980891,0.0569711948943725,0.815390916527447,0.842677644459453,0.776771359771376,0.00290034899774784,0.0329474592255801,0.00621358642083574,0.0402377184044495,0.0429486850385564,0.026667195315307,-0.0106425101253018,0.0071194787121972,-0.00963849624338366,0.124916035049771,0.0255128163630099,-0.000188598647458288,-0.00231880494788131,0.0141371609176613,-0.0280763933295682,0.0357072605019311,0.0476161007886603,-0.0214412830485561,-0.00449243398036756,0.814941191892795,0.843433010975811,0.072021695515896,0.0714349963455933,0.0631226311654845,0.0614001078382321,0.0613662429269295,-0.00740402628488231,-0.00681732711457958,0.00149503806552917,0.00321756139278161,0.00325142630408422
"ES.05_6",66.06806,65.81954,12.9518860689046,12.7818951989975,-0.204599947977292,-0.256830469484025,-0.361888555149585,-0.374969292794395,500,500,12.8671713600939,0.0193142683069223,1.00144699451547,1.20224402939859,0.937839937840005,1.29672886052162,0.924924924925228,0.827119230290551,1.00624427114489,0.831649831879869,1.25252525115218,0.980863122783803,1.01936782824203,1.00599203569898,0.859123182729724,0.844044860066176,1.14751311557789,0.963157362346695,1.09216870544287,0.983133894815978,1.04815867218927,0.991247067838418,1.05484911339059,0.893163123545505,0.0358581368725337,0.797765383841552,0.881137112610964,0.0091839316790471,0.032538715723024,-0.00844253932270104,0.0296618908320682,0.0167444856150881,0.00231944176611365,0.00209187197779879,0.000437837517427177,0.0174307279370862,-0.0210577276445649,0.800095123464393,0.789385343382662,0.0167114886276513,0.0194739292920961,-0.00797264958163092,0.0277602364312834,0.0163266696646443,0.00178643821137956,0.000636375468302264,-0.00745635048603515,0.0175567078207873,0.130043431456589,-0.0969835934115049,0.807320442603402,0.76494523499876,0.0050259399093039,0.0356630769658004,0.00445404979463685,0.0229247270297836,0.0148411578300327,-0.00175131332932529,-0.00118178663540551,-0.0197573723235675,3.71804908611057e-05,0.11825382521077,0.0221530243492366,-0.0166767449646014,0.00124360305057357,0.00978013018459134,-0.0177428291908138,0.0832476961195173,-0.0613686382949607,0.813090186936192,0.760031640082014,0.00397437154490151,0.0343166351089793,-0.000212292105090074,0.0234143931736806,0.0215236098219812,-0.000472146801782555,-0.000295691164334373,-0.0224117830230914,-0.00216753338622961,0.112791409255524,0.0216595343289244,-0.0155726500230493,0.00197763909860125,0.0101641418740836,-0.0234958694245872,0.0493445117708103,0.0609053380059131,-0.0166542345434674,0.0234694517981773,-0.139597471873631,0.814770535510099,0.00278679251787567,-0.00163654676348472,-0.00753728933091611,-0.00476939620818985,-0.0108491188907748,0.0165274757890466,0.020950815070407,0.0268515576378384,0.0240836645151121,0.0301633871976971
"ES.05_7",66.53912,65.92004,13.1302880758767,13.0017224078019,-0.216353248415555,-0.27971683040497,-0.427892851776681,-0.38380904653363,500,500,13.0661633719514,0.0473803964007483,1.00178518861825,0.852051308607757,0.86020503264156,1.04483902788987,0.945887445887476,0.702380964202942,1.01329888290164,1.16903313039163,2.00401385649158,1.0935323887161,1.00694699623811,1.00096738133286,0.910778015704571,0.953084470024349,0.952646169498493,0.854564206249783,1.19283490730019,1.03260758902286,1.02380861131288,0.975371872424159,0.935870599098966,0.888792439828387,0.348203190186923,0.790406435097677,0.870826111434133,0.0072624735504021,0.027900518670071,-0.00654918894522029,0.0142330381987218,0.0402342155623253,0.0252883981466048,0.00396710094202113,0.0301290408192643,0.0392704497525752,0.302626697580141,0.795895012960395,0.778129067177007,0.0211927758367299,0.0179987903283869,-0.0106991055310713,0.0137067501660226,0.0406576192628836,0.0238784038796552,0.00189745632845742,0.0215042303407761,0.0412565288443217,0.125945618196452,0.339741365299595,0.80206138633678,0.753232278244114,0.0191435945593474,0.0277265720976161,-0.00323513197284326,0.00906732325301403,0.040009851747118,0.0236429840794665,-0.00439576474959569,0.0125128184498912,0.025471926010873,0.112267994849932,0.0342971601751816,0.0140504307692342,-0.0291834601798822,0.00882979555402537,-0.0371268345585202,0.0809070957834449,0.382041778859296,0.809613414720712,0.747736384912479,0.0127263958540088,0.0255953041970114,-0.00845382446581555,0.0121731475992614,0.0581482280087576,0.0291229471708109,0.0049288926866344,0.0118704536026723,0.0226392987208515,0.105731595335192,0.0314619240150527,0.0130134337728212,-0.0259160991607332,0.00960913259100196,-0.0375829155135388,0.033326265998674,0.088137719136185,-0.0156837546172431,-0.00612445451892242,0.344753564167654,0.812379058454337,0.0266492297910797,0.0231610985539778,0.0260016162073179,0.0292390174517034,0.0263852176307333,0.0207311666096686,0.0242192978467705,0.0213787801934305,0.0181413789490449,0.020995178770015
"ES.05_8",66.30842,65.4922,12.5985791141299,13.3232503225871,-0.177747044045427,-0.206980928509108,-0.292488672135847,-0.260196416019192,500,500,12.9659784600567,0.0629508989633501,1.00257055650924,0.87279257707325,0.90918172736447,1.00000000000001,1.33926234253595,0.867584745790791,1.00005109681604,1.76064843352715,1.50301802565171,1.00347080397997,0.964087775096092,0.998664772196221,1.00000000000001,1.00086859054159,1.00157694493955,0.96065716686003,0.862203535137723,1.02669329853067,1.02222996847276,1.03013486450896,1.04136137808689,0.903329156556092,0.438511109565025,0.816782905200715,0.894559071438794,-0.00841355172442042,0.0358325616610391,0.0166295641383611,0.0115992247824499,0.00723320779824741,0.0155047227305363,-0.0184175967793014,-0.0133113998304213,0.0344386030816605,0.43462573095983,0.819059898038775,0.806135116607784,0.000651699108656276,0.0201163851882648,0.0141976542530661,0.00552139618960636,0.00520850797681997,0.0154938749924382,-0.0225073128008422,-0.0198287840043924,0.0310605690342784,0.127021755824822,0.503122072815101,0.825997215834268,0.789283090520155,-0.000116666711316144,0.0227456067591686,0.016167661726571,0.00270452729489093,0.00551214512834052,0.0189179937118798,-0.0242665743610702,-0.0286471430397551,0.0216022642371124,0.118748829159149,0.0113514472634696,-0.00836151376296745,0.00216914352696759,0.0235592766395664,-0.0276194848311107,0.0427558517996504,0.452721738375048,0.82811569255076,0.787876650377867,-0.001442714641005,0.0215812162715967,0.0152835702674529,0.00204295217143514,0.0101520802228348,0.0203616633085451,-0.0242362753364056,-0.0296301366880797,0.0208556617120219,0.118290234319619,0.010745242702489,-0.00687683934131697,0.00307208970876964,0.0242413082512488,-0.0296172828601057,0.0267143323230832,0.0334781060978786,-0.0174361714256462,0.0114286191719851,0.441032821913579,0.82868414319369,0.0338201325041464,0.0335204730054697,0.0388032476195324,0.0349161260578764,0.0340146193572846,0.0291307664592037,0.0294304259578805,0.0241476513438178,0.0280347729054738,0.0289362796060655
"ES.05_9",65.82294,65.3526,13.1591062047776,12.8909213381314,-0.0602022869125205,-0.264008940256026,-0.383963277816572,-0.369548374555126,500,500,13.0257039935373,0.0361086049731642,1.00188091468766,0.872758300650206,0.983622666229936,1.15015015014295,0.889482409288404,1.19719976317858,0.989037720920506,0.621212205805551,2.00806230390377,1.03732093190665,1.09463762829445,0.998020732534888,1.36873155517562,0.979012784776392,0.962578711388064,0.911094180488347,0.962144072019918,1.01496212439768,1.04071628738694,1.00456495062977,1.06813310045084,0.906069783656884,0.180151820718408,0.821164670572465,0.888316682669843,-0.0209589355525854,0.0214707783696006,-0.00650383872743423,0.0203724143353707,0.0153775266385144,0.0106462475946524,0.0115517805988109,0.0135932488676195,0.0266942921310569,0.103129598761668,0.824045147480476,0.797949213722317,-0.0060181805973501,0.00590746921867208,-0.0107713236231518,0.0148083666105955,0.0140594850884771,0.00900083897244543,0.0130255723915783,0.0120452494270567,0.0215054963596797,0.126644618000472,0.198990123529719,0.830420399800415,0.775901566181993,-0.0115440539736622,0.0174801580086756,-0.00463543173890246,0.0139214179167981,0.0139302463783106,0.00838571640555405,0.0112709617184356,-0.00048755367028356,0.00976056135978519,0.113750655959677,0.0124324810590526,-0.00184473104637368,-0.00357959508968155,0.0119631506855771,-0.0144110399146525,0.0673351274930037,0.186741327025242,0.833781119075601,0.775158242831868,-0.0145236114218396,0.0137324633077242,-0.00980223437374943,0.0124019478151722,0.0189597215209469,0.00990208413564368,0.0117565058967389,0.00153255345204225,0.0107960939438159,0.110646210523447,0.0135029774147642,-0.00333959595752722,-0.00298869292638018,0.0129437849243213,-0.0150491298502571,0.0474602059506935,0.0491058053574125,-0.0348116237834918,-0.00849402773579196,0.16540037699272,0.835034985830145,0.0138304863067509,0.00791739155233649,0.0152767269721811,0.0143363711564375,0.0126979990543914,0.0222781186664134,0.0281912134208277,0.0208318780009831,0.0217722338167267,0.0234106059187728
"ES.05_10",66.39704,65.70944,13.5067281103491,13.1679581838592,-0.174630533731417,-0.2721528232211,-0.402532585952222,-0.18877109091913,500,500,13.3384187027315,0.0515503385614362,1.00793474760196,0.923063903122081,0.93714644877442,1.10344827586144,1.07992646764945,1.00000000000001,0.993897467422896,2.02040816326496,1.25252525115216,1.13370584683003,1.07754660195578,1.01180752768587,1.47619043999751,1.00694867532434,1.00852504647257,1.094545727478,0.805933667430104,1.0274286639058,1.05103558636904,1.18796143414139,1.02727523195331,0.912062527664646,-0.576832747757585,0.830273712962798,0.900977991698019,-0.0107576410432027,0.0141464992820369,-0.0247730942123517,0.0207398241725215,0.000516060776727292,0.00805548328100092,-0.00519020660014847,-0.00948209162754097,0.020672242878585,-0.581857898259601,0.83185591982572,0.820157098971937,-0.00246126966797323,0.00952720515819259,-0.0230211539210038,0.0226575364333768,-0.00102431015136506,0.00929637967951419,-0.00893641848491343,-0.014192036084974,0.0175903717789165,0.109939414404411,-0.644853823082283,0.836548211222245,0.794305179698182,-0.00345768558666426,0.0258126041817624,-0.0173383000681498,0.0110571596067763,0.00240429603726486,0.0147102396903186,-0.00990435217505633,-0.0185895515800043,0.00651181952815612,0.10429149253205,0.0389951206538495,0.00318724661226649,-0.0193991439221044,0.0163419963073394,-0.0181615408541006,0.0455836033889915,-0.717517632331235,0.840024242816934,0.789086427678765,-0.00377365589425619,0.025795047648483,-0.0193457148791889,0.0118562046001667,0.0071491806322153,0.0157756509048743,-0.0085477416762597,-0.0185342973282855,0.0043660135952244,0.103720477575932,0.0381129452011722,0.00590883654120452,-0.019981580692012,0.0149727637224544,-0.0240515282808696,0.020662027102069,0.0495867055167692,-0.0201841829186361,0.0215736277381526,-0.713337761522055,0.841329199283619,-0.0432459619549547,-0.0436227045519604,-0.0483455975894822,-0.0537933055126164,-0.053479934722395,0.0947963005163909,0.0951730431133966,0.0998959361509184,0.105343644074053,0.105030273283831
