"","Gr.1.Mean","Gr.0.Mean","Gr.1.SD","Gr.0.SD","Gr.1.Skew","Gr.0.Skew","Gr.1.Kurtosis","Gr.0.Kurtosis","Gr.1.N","Gr.0.N","Pooled.SD","SMD.ES","A_GSCIIMP","CG_GENDER_R","CR_RACE_B","CR_RACE_W","CR_RACE_H","CR_RACE_O","CA_GAge","CSES_MOTHEMP","CSES_FATHEMP","CSES_MOTHED","CSES_FATHED","BM_GMTHIMP","CHL_HM208_R","DAL_Persist","DSE_SelfEsteem","DLC_Control","DFS_FeelSchool","DEXP_SEDEX10","EEXP_HK76","EPAL_PCOPH10","EPEL_KMHSCPH10","A_GSCIIMP_1","U.TX_1","Y.R2_1","A_GSCIIMP_2","CG_GENDER_R_2","CR_RACE_W_2","CR_RACE_H_2","CR_RACE_O_2","CA_GAge_2","CSES_MOTHEMP_2","CSES_FATHEMP_2","CSES_MOTHED_2","CSES_FATHED_2","U.TX_2","Y.R2_2","A_GSCIIMP_3","CG_GENDER_R_3","CR_RACE_W_3","CR_RACE_H_3","CR_RACE_O_3","CA_GAge_3","CSES_MOTHEMP_3","CSES_FATHEMP_3","CSES_MOTHED_3","CSES_FATHED_3","BM_GMTHIMP_3","U.TX_3","Y.R2_3","A_GSCIIMP_4","CG_GENDER_R_4","CR_RACE_W_4","CR_RACE_H_4","CR_RACE_O_4","CA_GAge_4","CSES_MOTHEMP_4","CSES_FATHEMP_4","CSES_MOTHED_4","CSES_FATHED_4","BM_GMTHIMP_4","CHL_HM208_R_4","DAL_Persist_4","DSE_SelfEsteem_4","DLC_Control_4","DFS_FeelSchool_4","DEXP_SEDEX10_4","U.TX_4","Y.R2_4","A_GSCIIMP_5","CG_GENDER_R_5","CR_RACE_W_5","CR_RACE_H_5","CR_RACE_O_5","CA_GAge_5","CSES_MOTHEMP_5","CSES_FATHEMP_5","CSES_MOTHED_5","CSES_FATHED_5","BM_GMTHIMP_5","CHL_HM208_R_5","DAL_Persist_5","DSE_SelfEsteem_5","DLC_Control_5","DFS_FeelSchool_5","DEXP_SEDEX10_5","EEXP_HK76_5","EPAL_PCOPH10_5","EPEL_KMHSCPH10_5","U.TX_5","Y.R2_5","Adj.ES_1","Adj.ES_2","Adj.ES_3","Adj.ES_4","Adj.ES_5","ES.Diff_1","ES.Diff_2","ES.Diff_3","ES.Diff_4","ES.Diff_5"
"ES.05_1",63.6421,62.84466,11.2887964833318,11.4239616194456,-0.244298125699666,-0.350341964487009,-0.423557479678946,-0.331753254841702,500,500,11.35658014379,0.0702183218806464,1.00918800335258,1.13662368713131,0.846090703930739,1.4149899354837,0.905069299413475,0.499714122355703,1.0070008445525,1.4056794895252,1.00000000000026,0.986012120202929,1.01008031914682,1.00506657283585,0.901185770753792,1.03840018810221,1.02931437819005,1.21824398071717,0.935181675010589,1.02331263964956,1.03894189921669,1.11961992681115,1.00854428785601,0.907973910910615,-0.217241355283226,0.823652948845125,0.891072009189138,-0.00376872026675057,0.0369746323121601,0.00489449635460076,0.00865955042639386,-0.0100506152935872,-0.0334517864260263,0.00984177933860296,0.00412434366071965,0.016532674246869,-0.221907234612627,0.825953221936587,0.771244577254803,-0.00948516903854538,0.0197436238043811,-0.00183786230367251,0.00391206293334272,-0.00490147926842942,-0.0236975885308403,0.00730825600081021,-0.00111435656753842,0.00661492448130749,0.16958857712193,-0.198106481158755,0.837997678067552,0.761042633710087,-0.0117719272796687,0.0196806311059761,-0.000405247236054433,0.00358812964566641,-0.00549790444175851,-0.0248924581959518,0.00497893695583896,-0.00241641616296579,-0.00229628775029652,0.160424071755782,0.00306470348893178,0.00998234105615699,0.00478677338952731,0.0214876555027134,-0.0213673541603963,0.037616491154146,-0.232988687381092,0.839675612424514,0.756132483654125,-0.0147769201789078,0.0234018772736017,-0.000516524539234577,0.00833515217135674,0.00317300017024577,-0.0270220778315776,0.00793606436763063,-0.00819795081323744,-0.00608028040652053,0.151913797581986,-0.00148194529991645,0.010486376950101,0.00780337031500455,0.0180342668560959,-0.0245330299797674,-0.00806573171888382,0.0877569796402317,-0.0147345120423788,0.0036783218275729,-0.240438301807442,0.842486853925159,-0.0191291174396386,-0.0195399699383948,-0.0174442022730834,-0.0205157436861391,-0.0211717170805965,0.089347439320285,0.0897582918190412,0.0876625241537298,0.0907340655667855,0.0913900389612429
"ES.05_2",63.48248,63.86644,11.2038125064175,11.2037510415576,-0.196391946271696,-0.432380865128945,-0.38480446873955,-0.0591114905193533,500,500,11.2037817740297,-0.0342705711110878,0.995480519993419,0.999999999999996,1.3057636429674,0.9223602484473,0.898989898992702,1.30202355465378,0.998406478522484,1.25252525115219,3.02429149796707,1.01597198140491,1.00194745043354,0.996399757146645,1.13089861900703,0.854409882357587,0.894012655323805,0.934868006659502,1.01061414192942,1.02027870746883,0.970791147337732,0.992669954017381,1.02225041698929,0.890866092726372,0.101000106795205,0.793467308084802,0.86494777533325,-0.01849970394997,0.0291210676727883,-0.0284564158565283,0.0085765893246403,0.0136047200858883,-0.0202747587177717,0.0187720596703497,0.0226305101199649,0.0290229219849591,0.064514153722308,0.799000034116604,0.748761904617046,-0.0298575250287039,0.0202988418936469,-0.0218135782789444,0.00328802840499076,0.0285792799214358,-0.0160228462705409,0.0284539127907944,0.0192445899984676,0.0167755935566421,0.161151594597469,0.0776884346004948,0.809136645444819,0.737720153107367,-0.0403264029283104,0.0254543997998241,-0.0186900145635632,-0.00122513419209883,0.0348475062004883,-0.0110769210122315,0.0276866702913728,0.0156514670575088,0.0107307666256397,0.146487184659823,0.0194409499473245,0.00642587435916898,0.0307894306878692,0.0429970943261304,0.00587944917619331,0.0307422935489266,0.105802333024289,0.81227845909185,0.732777123410105,-0.0439776505324639,0.0244963350395502,-0.0204576967125546,-0.000714849104165251,0.0465963331622181,-0.00778176858070829,0.0324369433769952,0.0123462848867281,0.0102003307426253,0.143125463375752,0.0175837670075325,0.010123483203315,0.0325639302783531,0.0438926308767843,0.00580152467048011,-0.00315419182726166,0.0581789750336211,-0.00335473521642867,0.00152349594716339,0.141146723880528,0.813510293343171,0.0090148227475586,0.00575824797586217,0.00693412600918166,0.00944344821759545,0.0125981321956578,-0.0432853938586464,-0.04002881908695,-0.0412046971202695,-0.0437140193286833,-0.0468687033067457
"ES.05_3",63.7945,63.26008,11.3634621878982,11.1649629820426,-0.210203786100329,-0.356995447881286,-0.397924612333678,-0.156241444785741,500,500,11.2646498233672,0.0474422204311586,0.996661274587877,0.865825841943608,1.01845427031815,0.937672698564417,1.07849293563544,1.37081671329466,1.00758971448458,2.01214353226597,0.999999999999814,1.08077317213691,1.00226102365585,1.00011651900404,1.13736263734721,0.971366838863081,0.878865330541983,1.12442156066337,0.96831811729206,1.0374354363334,1.00919530127951,1.06904606040142,0.98040084117419,0.884919394793101,0.894737908871956,0.783389682372311,0.856415663639926,0.0108528965285739,0.0597305059644849,0.0182060525747054,0.0231095701352657,0.00805989703018598,-0.0105086573504534,0.0121162190324747,0.0168907764162467,0.0527641865814977,0.87676674337368,0.789975272940292,0.728901046005263,-0.00154133027972137,0.0479119068376337,0.0201977875912014,0.0107516701370232,0.026539495672886,0.000148883081412889,0.0173695031525457,0.0095638516275194,0.0408369281560954,0.181219222232415,0.813238581129584,0.803425675640059,0.713727668081171,-0.00583812894779202,0.0494796407991988,0.0186071371871867,0.00201239933608311,0.0285545796574333,0.00343352459140515,0.0160604309376684,0.00737469293098213,0.0368331899726976,0.163258652780271,0.019110361743944,-0.0213701024334896,0.0109810130994951,0.0477755999314251,-0.0172797093068618,0.0181137216227736,0.754682624488023,0.806035811124765,0.70632261281115,-0.00987431806336429,0.0521659498986862,0.018100901148656,0.00377186272893181,0.0421435062704591,0.0052624700427675,0.0199832016617163,0.00369034836757762,0.0302233540827163,0.161235662085871,0.0174701589638238,-0.0185832476119475,0.0104437572360287,0.0469069382861941,-0.0190672386064546,-0.0143594673819147,0.0542499130607572,0.0128362419562871,-0.00805738867556434,0.746015835132699,0.807797120229457,0.0794288258314012,0.0778334663856955,0.072193862559546,0.0669956577720262,0.0662262783868503,-0.0319866054002426,-0.0303912459545369,-0.0247516421283874,-0.0195534373408677,-0.0187840579556917
"ES.05_4",63.57914,63.68298,11.5671057456506,11.0265125437445,-0.268476645949375,-0.386838306397191,-0.259819783150586,-0.0763018472959645,500,500,11.3000423496644,-0.00918934609152879,0.997019258341132,1.06610805361363,0.917898193760768,1.22429906530715,0.613003095975222,0.962247055270315,0.968305060227302,1.14518002319171,1.67340030188103,0.978066686341613,1.02919818421691,0.99549009923478,0.954111600587385,1.20326267479597,0.9635857032343,1.0148004226146,0.936622911887524,0.98739988721737,0.992556795731143,0.990798759407523,0.977128178131934,0.894482383551891,0.228189783345463,0.799903618388961,0.874883871438085,0.00402724673039283,0.0386206144226468,0.0154897718086281,0.00434569656362136,-0.0182032520650274,-0.0182077007654306,-0.0167723641768734,0.0124633912171425,0.0374461281676735,0.186960270843361,0.803541864757612,0.756817044806058,-0.00483067947902505,0.0263470840535557,0.00969024889712195,-0.00334184874853076,-0.00696578997162052,-0.0106426845510838,-0.0118625874960711,0.00382522632066566,0.0294262098916719,0.162046754584455,0.264224177924925,0.813974346924388,0.743741753220218,-0.00916500888515009,0.0246801838095695,0.00681942643978403,-0.00726189260042127,-0.0060711355968041,-0.00728386426212113,-0.0148219264607464,0.000199544593168425,0.0238005274863975,0.153840853027008,0.0190369048024232,0.000213795031778132,0.0183365884548703,0.0442167154020757,-0.0222853695484734,0.0184230131464797,0.25171127918082,0.816499849177226,0.735123792524008,-0.015294942779578,0.0267863228552154,0.0078261799012683,-0.0044975612763382,0.0114769328765704,-0.00270187780734694,-0.00682127154432951,-0.00363742494432545,0.0250522352266339,0.152081625549053,0.0199296820285277,-0.000360465441884033,0.0201785633888474,0.0438780934127936,-0.0250758981311007,-0.0222724131641836,0.089209991334756,-0.0339572767287165,-0.00201621436190256,0.258030167649508,0.819022894916418,0.0201937104556285,0.0165450947047923,0.0233825829805649,0.0222752509585325,0.0228344425326133,-0.0293830565471573,-0.0257344407963211,-0.0325719290720937,-0.0314645970500613,-0.0320237886241421
"ES.05_5",63.97384,63.24678,11.2003969858072,11.672512846165,-0.329312834094001,-0.19956134348616,-0.258909896815271,-0.305549786974525,500,500,11.4388908724484,0.0635603580895403,1.01017043932318,1.05760747909671,1.01795977011495,1.17469156019883,0.787464256010521,1.0406570174012,0.997816879306068,0.814849102452299,0.999999999999825,1.06578470757401,0.998494538442972,1.00251520845164,0.955752212389386,0.852603889052414,0.899863721585715,1.04275933402035,1.05020984955295,1.03589857712308,1.01261492407014,0.957311136085046,1.05372699565389,0.901905656053076,-0.418739619079966,0.811933949295643,0.878655814749887,0.0418447247122718,0.041926082549244,-0.015570545409835,-0.016413140031599,-0.00403485577105016,-0.022983982263774,-0.0379381018915193,0.0178140573971054,0.0509411251672161,-0.467859182886062,0.822481688635302,0.761249330745471,0.0283988736846161,0.0305468494753112,-0.0161426937291564,-0.0192024087400647,0.0116250859443868,-0.00717910719840237,-0.0342499636279354,0.00998995496979123,0.0395184163751168,0.160699880488679,-0.352756199781055,0.831922635604151,0.749290645589084,0.028034042473689,0.0354307910123367,-0.0131455996005653,-0.0198819032661106,0.0114765416418652,-0.00598921659545113,-0.0377781845932123,0.00451421062870797,0.0334709432657621,0.145620409247047,0.00666807434217143,-0.0149272716374931,0.0065191366180035,0.0230935852492567,-0.021374754741366,0.0352187263494357,-0.359622812251552,0.833702207347645,0.742555593942296,0.0227442179756014,0.0352046370977262,-0.0160114561112662,-0.0198959818352288,0.0291659219477444,-0.00276837172496629,-0.0254898463621285,0.00244847595713636,0.0355090510062465,0.14575742575352,0.00639200320907959,-0.0127298966474911,0.00754034556316803,0.0251350152526784,-0.0188118647288632,0.00101429005211628,0.0711982729332121,-0.031361291910598,-0.00173341898087485,-0.356847154480375,0.835459729036595,-0.0366066626344463,-0.0409007471181443,-0.0308383219767137,-0.0314386085383274,-0.0311959575853524,0.100167020723987,0.104461105207685,0.094398680066254,0.0949989666278677,0.0947563156748926
"ES.05_6",63.62752,63.41934,11.8695628265318,11.360561521358,-0.222097817671988,-0.301722347315618,-0.475277267669702,-0.386419527313643,500,500,11.6178500544108,0.0179189780402575,0.996417251675566,0.731493721224881,1.21679148579064,0.937007874015776,0.917108753316514,0.999999999999999,0.98457717629184,0.999999999999902,0.999999999999826,1.07559940916933,1.0135527135021,0.998462116550869,1.27472527332768,0.987515247970242,0.908711281842062,1.07438020243077,0.846759241651856,0.986223737222757,0.994665436079088,1.02311008787257,0.993370909014246,0.907626536682086,0.627411395697152,0.823540197003814,0.88628122593582,-0.0134643349878485,0.0177303655443219,-0.0192655628728617,-0.000325109462126916,-0.0159016684898953,-0.00045196306964847,-0.0271680476044382,-0.00129345294598318,0.0446990583396967,0.573824378443915,0.827133342420003,0.767690735798411,-0.0181834145222028,0.0161033309324476,-0.0146164461641681,-0.00155121587995953,-0.00994746641820859,0.000188505314052727,-0.0205435571282899,-0.00326434656808017,0.0278803280816938,0.162911404049722,0.557828344311378,0.837813304810268,0.749519059884586,-0.021041595582348,0.021627800322561,-0.0104550431733906,-0.00107914908517022,-0.00686822076590544,0.00222660759996362,-0.0212573976060211,-0.00901799432503293,0.0149984311648611,0.145362897582824,0.00628994687983472,0.0019703527269101,-0.0030139025174188,0.0310483745618518,-0.0142109994526247,0.0516912867140688,0.522956486204418,0.840440004385324,0.746177989810652,-0.0227098408560403,0.0222659557719803,-0.0132625378821099,-0.00065211132878469,2.57223016074933e-05,0.00284409471827077,-0.0181625657988385,-0.0100305646376923,0.0141129451177237,0.142416859162722,0.00453084230778009,0.00359673661214474,-4.17953401435723e-06,0.0304563548329449,-0.0171155555784395,0.0216872928861361,0.0642462515512107,-0.0300645152247542,0.0170099567853229,0.533066282984587,0.842230548949719,0.054004087912888,0.0493916151229769,0.0480147653566585,0.045013189510556,0.0458833846613646,-0.0360851098726305,-0.0314726370827194,-0.030095787316401,-0.0270942114702985,-0.0279644066211071
"ES.05_7",63.8973,62.92262,10.9859884577943,11.1862522506168,-0.37975444281011,-0.209975163992492,-0.325872211669572,-0.363386716531735,500,500,11.0865725499186,0.0879153584763357,1.01112728532116,0.968503937007877,0.963343108504403,1.04224489364848,1.05111167901864,1.11052166224148,1.00499402315141,4.5641542342112,0.665328015322382,1.01674884263454,0.983063016429765,1.00517225852867,1.0545851528384,0.991380515178048,0.875389657714198,1.14374034525509,0.949955092040606,0.990303996691476,1.00723318465433,0.904614685901809,1.01989558389571,0.902481021546388,-0.19577561991155,0.813617737978316,0.88758170965435,0.0318677260437907,0.0155985562969083,-0.0139073487962123,0.0108382522615256,-0.00716295732038447,-0.000425178431786356,-0.026568322867192,0.00927474949711994,0.0380217471430442,-0.172016895909554,0.817865973400505,0.776987261221862,0.0205956240418676,0.01133801714852,-0.013610950138873,0.00591741740542233,-0.00367994560703245,0.00570296058345982,-0.0236168469799448,0.00434610373795737,0.0236311631928464,0.148159447036655,-0.147462610937146,0.826032629240529,0.751078409396022,0.0161100748057177,0.00637084386176141,-0.0119571789396438,0.00583319947860902,-0.00438498081293648,0.00341303699987325,-0.0254211457810025,-0.000124922082191113,0.0150741703574718,0.135501753972314,-0.00573360913904157,0.00626282623727563,0.00422293389915203,0.0719417909065306,-0.0395745265329074,0.0285518379927422,-0.175388968523594,0.831167106772346,0.747673119775092,0.0153538035635748,0.00756711597319388,-0.0147508779224226,0.00694304442716001,0.00122660493253957,0.00401390825946048,-0.0244680582600336,-0.00473817619922901,0.013902820083619,0.130815753633065,-0.00598812198101273,0.00778093128727138,0.00531086273179409,0.0720706878013404,-0.0432936394852245,-0.00498565174805325,0.0602583352970883,-0.0155502678422623,0.0157563122532059,-0.205182058921775,0.832667666168799,-0.0176588047415057,-0.0155157867893821,-0.0133010098723639,-0.0158199450491921,-0.0185072580365048,0.105574163217841,0.103431145265718,0.1012163683487,0.103735303525528,0.10642261651284
"ES.05_8",64.20928,63.12288,11.16775351262,11.3811787863443,-0.339956730119972,-0.229393810815142,-0.198120653823694,-0.314993464979654,500,500,11.2749711548494,0.0963550136917849,1.01320641250472,0.785518188085335,0.756944446085755,1.28486499829215,0.733388026787281,1.07598784194494,0.993330474508012,0.397590361446468,0.498998545723988,0.967621042882929,1.02268285484341,1.00981583698781,1.38870172459875,0.897200228340931,1.00043767596586,1.16726101776414,1.01821019490366,0.996150875654216,0.997349488946403,1.06019884742074,0.996018784722255,0.902911271750993,-0.37952187725822,0.813344435700102,0.876804455664484,0.00872715314261868,0.0636226207871376,-0.00832401224282206,0.0441270832281745,-0.00997874716355416,0.0106562853458939,-0.00965427514789077,0.0127928664052009,0.0228737330184139,-0.422722558597562,0.819002438271894,0.753986055468719,-0.000448631105003283,0.0488304065189601,-0.0132947680090537,0.0398384226847255,-0.00630379513914548,0.00741945289181114,-0.00900156372026942,0.00667323312659257,0.0159722856936518,0.167494008639851,-0.461238326391607,0.830323096248184,0.740709494529796,-0.0058432631044149,0.0494679470752039,-0.0148325755586388,0.0355576306910873,-0.00602774419715587,0.0091888493377932,-0.0109123039410261,0.00656190380098308,0.00903536500373582,0.158330662177188,0.00833279837455012,-0.00207179142872537,0.0204368809703417,0.042980875405377,0.000395655965023078,0.0178264741075994,-0.486365074399233,0.832246907776163,0.739058292851328,-0.0067548549829184,0.0497719006929179,-0.0158457687267502,0.0361406708829037,-0.00225832891657829,0.00856376052925477,-0.0101913162710075,0.00523819719682611,0.00650399548336948,0.155305110477095,0.00626276384853519,-0.001770909050362,0.0222765728987147,0.0427498023603273,-0.00111288523127397,-0.000353423192114671,0.0361252767822137,-0.00943699093456375,0.00480417665355608,-0.470055468172332,0.832747932512261,-0.0336605630334573,-0.0374921188526278,-0.0409081602122972,-0.043136702322298,-0.0416901703531331,0.130015576725242,0.133847132544413,0.137263173904082,0.139491716014083,0.138045184044918
"ES.05_9",63.64466,62.94208,11.5902121862131,11.4095889809857,-0.243681164227412,-0.351436910038794,-0.417474882189025,-0.283291277935079,500,500,11.5002551979613,0.0610925573307752,1.00451213078524,1.27193125573781,1.06073858114669,0.935233160621798,0.780058652040818,1.41806017952888,1.00791220283907,0.410774410774986,0.164996723681073,1.03501734648861,1.07468742830188,1.00471499445842,1.43094158903329,1.11430442403609,1.09850909948709,1.00476374439085,0.989898875208331,1.07423583313609,1.07247706426117,1.0605880889182,1.05478719351858,0.893759433909695,0.179070892889545,0.799221391898302,0.855531132772144,0.00601083843485229,0.0581957866765848,-0.0217401627147297,0.0255385237754154,0.0113684660759314,-0.0175974619648267,0.0149739494092523,0.0358815932867991,0.0359360112644673,0.118343643760268,0.808252749371861,0.725312699083706,-0.00493132223519902,0.0482463509840368,-0.0222552100270929,0.0190976022456041,0.0217161275681235,-0.00733292744771798,0.0148289058372547,0.024830021918853,0.0176613570076037,0.182352067714462,0.12082088459927,0.82091418237365,0.712817640060458,-0.00775158932168593,0.0545699179686439,-0.0208411181501205,0.0109037313595055,0.026553219513617,0.00180968749935226,0.00963605366546066,0.023619878222171,0.00990274083787955,0.166844641961052,0.029328382028377,-0.0189938661193705,0.00501860866906856,0.0393130742145691,-0.015797172914827,0.0171113444151744,0.118531376901866,0.823359592186951,0.70821685088331,-0.00957243925951151,0.052964008486244,-0.0218981057601108,0.0115342313952295,0.0312860212171547,0.00259626455534348,0.0119345688419256,0.0208066410639261,0.0078460679543365,0.162569409258476,0.0298370082024631,-0.0158395562431789,0.00985230295949028,0.0398128348560155,-0.0179355073505795,-0.0121541622316403,0.0579094364681905,-0.0183609933000188,0.0256697045081306,0.0808879499474798,0.825044558988561,0.0155710364515466,0.0102905232730181,0.0105059307397533,0.0103068475317729,0.00703357869500314,0.0455215208792285,0.0508020340577571,0.0505866265910219,0.0507857097990023,0.054058978635772
"ES.05_10",63.52958,62.7339,11.5456560650118,11.3377476967725,-0.332323329510399,-0.340279967205563,-0.340056845866785,-0.154439558565593,500,500,11.4421741117502,0.0695392319876432,1.00623063306728,0.886867589827357,0.999999999999996,0.931267428616356,1.02497502497502,1.60907030050368,0.992657269959346,0.711399723373477,0.331998471830154,0.999044253239692,0.943737588075398,1.00832797058603,0.815387455841846,0.923536501940022,1.11739788976135,0.921517943802206,0.932029113711923,0.972283789316478,0.965480659495823,0.891603373891781,0.97929765826157,0.896416012665298,0.0973738086284807,0.803839674512383,0.860673041325731,-0.0171840686348934,0.0657466467008729,-0.0171747357064012,0.00760575765428212,-0.0103713935466596,-0.0103366305438908,-0.0168548043393493,0.0227450408264205,0.0128934933371028,0.115917272886516,0.810278163242766,0.736224339647704,-0.0249415954360507,0.0511184547794562,-0.020481532252814,-0.000866649420924993,-0.00562922601476488,-0.0044301386372721,-0.0194276619594757,0.0155167142582187,0.00178727783152504,0.176733138882119,-0.0113181497384679,0.823335404135438,0.720925427788379,-0.0294231708600442,0.0554858859503831,-0.0193898193259784,-0.00598558983499345,-0.00530886129423634,-0.00469069112446899,-0.0193543150073594,0.0124477646490251,-0.0107120780066151,0.153318755100245,0.0207961746332386,-0.00719618975029124,0.00743091008716369,0.0632031558163055,-0.0197781488822929,0.0342657187973345,0.070437795864483,0.827794827048491,0.718244832852712,-0.0328617941893356,0.0552509865726018,-0.0213153447135825,-0.00785137778277344,0.00196612268707761,-0.00291379312400407,-0.0183570156916592,0.00798821661340741,-0.0122070018898399,0.147276710518158,0.0224946628286858,-0.00698092631399279,0.00876867343444546,0.0627368442799656,-0.0251962766487879,0.000587187191641437,0.0724513578275326,-0.0305503745600477,0.0246093888244392,0.0786837633471536,0.830196469119213,0.00851007926268883,0.0101307034619826,-0.000989160768568014,0.00615598007656157,0.00687664447146906,0.0610291527249543,0.0594085285256606,0.0705283927562112,0.0633832519110816,0.0626625875161741
