"","Gr.1.Mean","Gr.0.Mean","Gr.1.SD","Gr.0.SD","Gr.1.Skew","Gr.0.Skew","Gr.1.Kurtosis","Gr.0.Kurtosis","Gr.1.N","Gr.0.N","Pooled.SD","SMD.ES","A_AMTHIMP","CG_GENDER_R","CR_RACE_B","CR_RACE_W","CR_RACE_H","CR_RACE_O","CA_AAge","CSES_MOTHEMP","CSES_FATHEMP","CSES_MOTHED","CSES_FATHED","BS_ASCIIMP","CHL_BL291_R","DAL_Persist","DSE_SelfEsteem","DLC_Control","DFS_FeelSchool","DEXP_SEDEX7","EEXP_BL127","EPAL_PCOPH7","EPEL_KMHSCPH7","A_AMTHIMP_1","U.TX_1","Y.R2_1","A_AMTHIMP_2","CG_GENDER_R_2","CR_RACE_W_2","CR_RACE_H_2","CR_RACE_O_2","CA_AAge_2","CSES_MOTHEMP_2","CSES_FATHEMP_2","CSES_MOTHED_2","CSES_FATHED_2","U.TX_2","Y.R2_2","A_AMTHIMP_3","CG_GENDER_R_3","CR_RACE_W_3","CR_RACE_H_3","CR_RACE_O_3","CA_AAge_3","CSES_MOTHEMP_3","CSES_FATHEMP_3","CSES_MOTHED_3","CSES_FATHED_3","BS_ASCIIMP_3","U.TX_3","Y.R2_3","A_AMTHIMP_4","CG_GENDER_R_4","CR_RACE_W_4","CR_RACE_H_4","CR_RACE_O_4","CA_AAge_4","CSES_MOTHEMP_4","CSES_FATHEMP_4","CSES_MOTHED_4","CSES_FATHED_4","BS_ASCIIMP_4","CHL_BL291_R_4","DAL_Persist_4","DSE_SelfEsteem_4","DLC_Control_4","DFS_FeelSchool_4","DEXP_SEDEX7_4","U.TX_4","Y.R2_4","A_AMTHIMP_5","CG_GENDER_R_5","CR_RACE_W_5","CR_RACE_H_5","CR_RACE_O_5","CA_AAge_5","CSES_MOTHEMP_5","CSES_FATHEMP_5","CSES_MOTHED_5","CSES_FATHED_5","BS_ASCIIMP_5","CHL_BL291_R_5","DAL_Persist_5","DSE_SelfEsteem_5","DLC_Control_5","DFS_FeelSchool_5","DEXP_SEDEX7_5","EEXP_BL127_5","EPAL_PCOPH7_5","EPEL_KMHSCPH7_5","U.TX_5","Y.R2_5","Adj.ES_1","Adj.ES_2","Adj.ES_3","Adj.ES_4","Adj.ES_5","ES.Diff_1","ES.Diff_2","ES.Diff_3","ES.Diff_4","ES.Diff_5"
"ES.05_1",54.1517,53.41966,10.4510431208865,11.3404261036711,0.0356397198747623,-0.0633323415551433,-0.482991742355184,-0.444697612845493,500,500,10.904805512421,0.0671300372268149,1.00021766848841,1.23148148146726,1.03223207091056,1.07529796480352,0.822611163843955,1.14306151642844,0.947591415968792,3.02829362140737,1.4596789154396,1.12364410301104,1.0613525522812,1.00027151469095,1.14169816257398,0.907744163805433,0.850135639679334,1.23369410904781,1.03782982040877,1.00158735644701,1.01341806430471,1.0129481094908,0.947034510149473,0.832796854804158,0.712105882721764,0.694677360538739,0.797291834294107,-0.00767212337041155,0.0169162602048567,-0.0235676259875608,0.0287531171447464,-0.0590260081360712,-0.0189806501628912,0.0191789524615953,-0.00029545809059345,0.0187256385432011,0.667742842710265,0.701313537773345,0.668118028578054,0.0132352040802161,-0.000974725533525427,-0.0205259505607986,0.0363020091209919,-0.0595952889325789,-0.0220817898008099,0.00582736162889334,-0.0149933877872509,0.019832146958818,0.195484998105435,0.674378626999545,0.718557365076926,0.662736774430172,0.0110191281181352,0.00235452039275445,-0.0161533737207031,0.03648109719609,-0.052234037913977,-0.0272101147169853,0.00838220436134295,-0.0155010184110661,0.0106452663035457,0.179231550146817,-0.00923605129203002,-0.0377145034672391,0.0100842115371176,0.0283895434586723,-0.0133263244812117,0.0350415379828208,0.644558382396352,0.721437775010334,0.664380222166001,0.0122359630984012,0.00610653722401063,-0.0165383218621076,0.0378418977177411,-0.0526632757769208,-0.0286353419348611,0.00881401187626167,-0.0140921199073433,0.00838148471250584,0.179649782556689,-0.00949552020778001,-0.0353501026510205,0.0100726729083653,0.0280311487631646,-0.0107586842181446,0.041416972826912,-0.025561831991237,0.0239642237504741,0.00137049549138925,0.646983451549197,0.721905088831912,0.0653020250485575,0.0612338149405489,0.0618423342104911,0.0591077375623228,0.0593301229272047,0.0018280121782574,0.00589622228626598,0.00528770301632378,0.00802229966449202,0.00779991429961019
"ES.05_2",53.7948,53.7315,11.3565267383614,10.8792709232578,0.138754370675354,-0.0130744719168361,-0.265846867296152,-0.582639579811439,500,500,11.1204594190339,0.00569221087140095,1.00201762528636,0.86573576799219,0.982804869660925,0.958228033166947,1.2198339029791,0.827119230290559,1.01223374955765,1.70858607838304,2.42523691780853,1.16647456128665,1.0361951571395,1.00519712883125,0.752786668817456,1.02304195396304,1.03693321576086,0.970652109684712,0.97552188409702,1.04751426532561,1.01210090585148,0.991136807912373,1.00335453620811,0.839700960148966,-0.129655519443499,0.705030400978621,0.809635077185304,-0.0236534945102145,-0.00745469264091731,-0.0425934251863965,0.0322639276162674,-0.0530588244653121,-0.00507733855881507,0.0270490803204889,0.0122915059491672,0.014814156265606,-0.14517201076711,0.712406574669642,0.658620328370952,0.00206245449686518,-0.0341946670522265,-0.0428497843432831,0.0262567016661311,-0.0581092241039541,0.00405455805014732,0.0137165174524954,-0.000348137933402583,0.00558755577698334,0.224100678650677,-0.195223498652682,0.734865315062776,0.652470412958037,-0.000239242701823049,-0.0240025852740838,-0.0286926470348244,0.0309875987472026,-0.0390890046210143,-0.00614384193161055,0.0175038958801409,-0.00733689231117276,-0.00561193335470644,0.196013344765036,-0.0164400564571269,-0.0373145045526742,-0.0289931335350944,0.0246077398033377,-0.0283296168507989,0.0584304635054105,-0.211560838112946,0.741225470329296,0.65109382945109,-0.000249465659491896,-0.0228154678590392,-0.0274126320186513,0.032237593290976,-0.0364969989521925,-0.00548756096285792,0.0185098088404002,-0.00859186339417979,-0.00517416136274531,0.191922067857225,-0.0185915182038576,-0.0389229916669348,-0.0252155394858636,0.0241104433130902,-0.0337886014695523,0.0431442565418262,0.0359688372094716,-0.011645149708347,0.0187114089782362,-0.210306309494763,0.742088871278035,-0.0116591873193277,-0.0130544975973413,-0.0175553447296012,-0.0190244692364809,-0.0189116565755187,0.0173513981907286,0.0187467084687422,0.0232475556010022,0.0247166801078819,0.0246038674469197
"ES.05_3",54.14168,53.4151,10.5825845315942,11.3347927216198,0.10285675213926,-0.03047669157047,-0.355937680477756,-0.67938650419259,500,500,10.9651407061291,0.0662627155886713,1.0064019518902,0.900887438626542,1.39125160629315,0.989527479892752,0.928646180192439,0.639889239825921,0.895532486587511,1.20268476717047,1.66011562602197,1.04824654886833,1.10286580140599,1.01007139757428,0.629153745361355,0.994958011189743,0.82967614760278,1.04132701839093,0.990501475615169,1.10509389756984,1.09097945836762,1.06927413695507,1.02548033873232,0.832995799994333,0.13257982182142,0.694246375518067,0.792245111489861,0.00398587398920808,-0.025588966286541,-0.0604166663365844,0.028530835163971,-0.029396968879132,-0.0318340275865342,0.0396227079152917,0.0433166066857728,0.0322204520375161,0.0803220665116975,0.705082643125613,0.669855010576159,0.0219962550968133,-0.0361098271736596,-0.0552026348802429,0.0302496379576542,-0.0322739325269861,-0.0280180201321138,0.0233846293245289,0.0234964517248956,0.0311091737184603,0.180469425980719,-0.00567894507876704,0.718487920876461,0.663939653413471,0.015648941152104,-0.0258015046714357,-0.0464295960044978,0.0318730691921815,-0.0271851004033866,-0.0302240234190662,0.0228196980814974,0.0224117759453003,0.0280663491639409,0.169685605217422,-0.00845649447388973,-0.0297489760214571,-0.011060887047653,0.00456288953160402,0.00817926328809591,0.018498300403566,-0.0364305210497851,0.7204214197249,0.65808074466449,0.0139583918799611,-0.0219575195718758,-0.041737591606479,0.0340249196577371,-0.0260011426372573,-0.0308602007632214,0.0245212418440191,0.0202244004351723,0.024380500138948,0.166920772386237,-0.0118394433251082,-0.0313758997021514,-0.0102834658345401,0.00307360740652997,0.00732511646304722,-0.00183229783793799,0.0201040283371165,0.0336706429757207,0.00153638822583005,-0.0468910094558953,0.721978038855635,0.0120910278649969,0.007325219863964,-0.000517909001896592,-0.00332239430629665,-0.00427637097531131,0.0541716877236744,0.0589374957247073,0.0667806245905679,0.069585109894968,0.0705390865639826
"ES.05_4",54.26318,53.64916,11.5096849732722,10.523062700164,-0.00310173168198849,0.0361322801491043,-0.243469589289712,-0.456687318125255,500,500,11.0274134949124,0.0556812347957462,1.0104439124784,0.886816370880338,0.967700258397933,1.06371455877666,0.793567565895297,1.19719976317858,0.871509063618046,1.09169950448647,1.71871097853827,1.00712984366552,0.969057729823188,1.00710983293291,0.923505837534661,0.936860557850023,0.793469401580934,1.14889746212963,1.09373977762989,1.02553403070874,1.04200951155469,1.06984096631443,1.02494319136772,0.815597863399543,-0.319772424694817,0.664181085607882,0.771202935851142,-0.00181825624846317,-0.0111681539090809,-0.0623888991297097,0.0349521492629823,-0.0423490566279682,0.000494077306469918,0.0654102425448237,-0.00227134193552771,0.0585884303332114,-0.381049522066549,0.678548451851701,0.630280095242353,0.0170178947401848,-0.0266853148034245,-0.0644702133321123,0.0387838836864046,-0.0437977799851194,0.00204405441065377,0.0516303617784086,-0.0146625638713995,0.059188553834563,0.20799488136245,-0.360921387715188,0.698774707726861,0.616985749363367,0.0143232043945652,-0.0172956353717775,-0.0565409682078313,0.041661751085011,-0.0311332819491669,-0.00310139397435031,0.0485880837775243,-0.0178634789132848,0.0472854771334004,0.192948635200929,-0.00179020999136258,-0.0132592518681319,-0.0367921832716843,0.0311669639588701,-0.00232206309100225,0.0424164719978275,-0.432197836734864,0.703300326261207,0.605855398899175,0.013635358592868,-0.0169100432318735,-0.0569582330664355,0.0407694880412345,-0.0213539398963229,-0.00473255009764877,0.049818288332962,-0.0230654268829461,0.0443409199491065,0.190662550454351,-0.00563669800140913,-0.0191809494770045,-0.035953135053796,0.0294148402874698,-0.000406993022176515,0.0117460906642932,0.0485628774672765,0.0335611436219309,-0.0306810738329015,-0.445193077686995,0.707329281068251,-0.0289979535856117,-0.0345547505081179,-0.0327294689622098,-0.0391930380532355,-0.0403714867400583,0.0846791883813579,0.0902359853038641,0.088410703757956,0.0948742728489818,0.0960527215358045
"ES.05_5",53.90026,53.76882,10.9184504235584,11.135094443431,0.112640772839014,0.0671161350426489,-0.383284473616064,-0.366483411049588,500,500,11.0273044738012,0.0119195040195249,1.00103789420042,1.25225225222598,1.42372880108052,0.6383363579474,1.7243638196019,0.908424908426748,0.774530248321443,0.459679653524446,0.607429341379128,0.986429425364897,0.898417389443113,0.996580225156872,1.39613606506937,1.02978434640049,0.872899348894383,0.979245865978045,1.01307493322796,0.974232121637015,1.02523294667167,1.048023772759,0.966609477834063,0.84286157463785,0.0332322912590531,0.710431354910996,0.819964192951727,-0.0342710169065381,0.0080178940494932,-0.0166657031846763,0.0213633969563851,-0.0388786510792557,-0.00841892143368142,0.0183872728454363,-0.0100120527403947,0.0386783973901948,0.120396009667421,0.715759947864573,0.733475506157077,-0.0204165747047379,-0.00732436137732419,-0.0212103334347847,0.0196675667608592,-0.0394329414627469,-0.00979162080320626,0.0152115000228594,-0.0195335745480348,0.03708846373494,0.128268733144585,0.129357893531333,0.723278478500727,0.718892639249931,-0.0295139343300478,-0.00419044050750916,-0.00824084585120646,0.0247261340566344,-0.0318395913910165,-0.0125890552804357,0.0109097624466475,-0.0244708171673734,0.0254623822017933,0.110623898078726,-0.0351095006881309,-0.0199511354186128,-0.0327921612744862,0.037606163484876,-0.00130362300703176,0.041039509484389,0.150561282513593,0.729005976287537,0.716423993093762,-0.0268254216961598,0.000346460581570449,-0.00560024733118974,0.0263531382679305,-0.0319325756477204,-0.014381261644982,0.0125189700385871,-0.0269183784434237,0.0217335033380667,0.110140684083367,-0.0374232727246643,-0.0186169165281318,-0.0308636338217694,0.0358414479807703,-0.00125668815155365,0.0388498868885597,-0.0145711561396847,0.0406398305384656,0.000729325958927815,0.134113519939974,0.730048887084784,0.00301363686275343,0.0109179908792271,0.0117306902914183,0.0136534982661718,0.0121619494826322,0.00890586715677143,0.00100151314029779,0.000188813728106545,-0.00173399424664695,-0.000242445463107296
"ES.05_6",54.10016,53.41568,11.0028542286424,11.2264483440866,0.0679531356180024,0.0512090583970232,-0.468641216956947,-0.131630591584992,500,500,11.115213529195,0.0615804634073974,1.00702952477893,0.872689692358921,0.885583524033005,1.13586956521384,1.04717648723875,0.751799456804548,0.800183080386022,0.693821481082036,2.08179789814521,1.14194182092366,1.06698424125846,1.00615100041491,0.965963568578531,1.0267998064773,0.83249159467154,1.0412265435208,0.990748950938921,0.966234381414551,0.985079818530858,0.987670661161154,0.91086224257805,0.829270496578579,0.0169655197340222,0.687736019102998,0.795567286113002,-0.0113830771086337,-0.0102071886658171,-0.0347023001857275,0.0317569638833324,-0.043930889139663,-0.0169495812646127,0.0331256869234077,0.0533452684667624,-0.00477916116155424,-0.104838983076702,0.696188606547872,0.664050878845065,0.00915925001566407,-0.0238206481839239,-0.0365909344752303,0.0320243459844665,-0.0435894389719684,-0.0229225150556618,0.0235556959648734,0.0391341287961812,-0.00614989852591968,0.191247187836554,-0.0780382897746977,0.712401434729173,0.654316256150095,0.00501294102934603,-0.0202880825373161,-0.0266677140195283,0.0361332814514906,-0.0339780159310425,-0.0287356359430709,0.0245982240140047,0.0353198110929016,-0.0139730814008221,0.171880048502911,-0.0182116227508851,-0.022277065552743,-0.0314944355079515,0.0351411128625576,-0.0113161258106202,0.0302493404829115,-0.0692612859638437,0.716537001156885,0.648574518391556,0.00200790560588491,-0.0175661938226232,-0.0234032840025327,0.0370485420282781,-0.0292507817558466,-0.0273701029515347,0.024167796063601,0.0303487209362699,-0.0162305731332882,0.169536235118247,-0.0213737630945955,-0.0250055069417916,-0.0282618991162023,0.034156820301718,-0.0135273402459952,0.01005524883042,0.0428270215120318,0.00602952996341985,-0.00571660971306683,-0.0532814570478905,0.717756523735103,0.0015263332269291,-0.00943202600663808,-0.00702085385671844,-0.00623121506230389,-0.00479356126699164,0.0600541301804683,0.0710124894140355,0.0686013172641159,0.0678116784697013,0.0663740246743891
"ES.05_7",54.47314,53.8039,10.9623365568647,11.0300720927264,0.14140878533995,-0.0382138026582718,-0.336630074949896,-0.447992393583139,500,500,10.9962564802007,0.060860712116437,1.00420591186882,1.04917387883556,1.18752130916859,1.0103211956073,1.09477325498628,0.554617909048299,1.0164940730868,3.07465536688697,2.34524187169663,1.00300219954772,0.957276739022016,1.00840019166686,0.95466266653078,0.948950485149803,0.956178099795355,0.931611229297709,0.937887505413093,1.04659169155184,1.07264454294815,0.97578558810397,1.01839771375673,0.845943146145904,0.268679310317246,0.716214720341456,0.805904658724899,-0.0224458613749795,-0.00300513551343197,-0.0382935440652566,0.0461651588641045,-0.0720408343544589,0.014212529767953,0.0185279397907797,-0.0131349683276269,0.0513999504145844,0.387011707446575,0.728372341239327,0.670868092714534,-0.00129828342398908,-0.0164774352650585,-0.0382703603352837,0.0513189363861463,-0.0681228784159995,0.011338061116695,0.00323105534811097,-0.0254518113203001,0.0358617246039906,0.208884129534556,0.265420599254898,0.748111503726095,0.666185349996871,-0.00263498596930321,-0.0162535690901182,-0.0302574115987639,0.0536361540698523,-0.0663973444033608,0.00808241156994998,0.00240133306096108,-0.027360478842205,0.0338738399970457,0.201274972563404,-0.0214181024381646,-0.00375049701280724,-0.0210377394078112,0.0240672389654046,0.00827717401224539,0.000977149534002801,0.283552712673403,0.749735098831653,0.664628703113567,-0.00354739841497546,-0.0154245063760416,-0.0282615689073762,0.0541158753088769,-0.0660809276829413,0.00880911275121925,0.00229900261129242,-0.0281512719200162,0.033571386791545,0.200608012477291,-0.022596184988046,-0.00458436946299542,-0.0194866684298422,0.0238079275833002,0.00651477561402233,-0.00524592667306196,0.0159049489589994,-0.00552303236465929,0.00612550548158698,0.266679283640237,0.749876978936485,0.0244337071257856,0.0351948600092593,0.0241373598126599,0.0257862949253642,0.0242518246205338,0.0364270049906514,0.0256658521071777,0.0367233523037771,0.0350744171910728,0.0366088874959032
"ES.05_8",53.96166,53.62444,10.8366751035084,11.0853417760113,0.0770870781737408,-0.00143447565945354,-0.465164106426849,-0.255688388468658,500,500,10.96171358844,0.0307634383328194,1.00257829703806,0.901203793774403,0.950511382382059,0.918599918600091,0.978213507625276,0.869519833013534,0.932355949923572,1.54068654772214,0.518301332435394,1.13967335156036,1.05106753153472,1.00077222034222,0.784814417734497,1.02864305630955,0.811950938854987,1.14897034474992,0.897102972923445,1.00124194121249,0.998162145870903,0.991010100469294,0.924264240987751,0.847737660212986,0.0942663454734938,0.718773129897854,0.813802706877327,-0.000184173510924992,-0.000978118574131446,-0.0317315385486804,0.0267382159461963,-0.0316461849165908,0.0141543477634854,0.0220794470253571,0.0265987553314843,0.0185690823465519,0.0516161780919704,0.724249758428207,0.677987564109482,0.0231817754520747,-0.0193175338293559,-0.0338111038679939,0.0251620783209654,-0.0363542677285005,0.0141279732032853,0.00997502141285086,0.012044089934486,0.0165270172585123,0.197300013679144,0.0900349665432849,0.741125293216454,0.668366924134266,0.018122381723768,-0.00681417315972014,-0.02280919273433,0.024785229424906,-0.021676089468968,0.00732346596914018,0.00881347620530225,0.0060056163794363,0.0054020412875888,0.177388836199155,-0.00624279642021305,-0.0409447641209893,-0.0210009452620718,0.0194471191219733,-0.00317473654665222,0.0452100575391886,0.0756199470153094,0.745852415233049,0.666175259690392,0.0184103557059207,-0.00490754680253058,-0.0211137659382329,0.0261901727789502,-0.0207354321598944,0.00744824291827872,0.00841245655312493,0.00488203445456222,0.00356845630996263,0.177105360401324,-0.00885883347876827,-0.0413357357038228,-0.0205749418234035,0.0184556501286751,-0.0034541875729815,0.0357601103803941,0.0107447022132317,0.0146565522159764,-0.0023476120056344,0.0790660413170067,0.746195907390586,0.00859959938863073,0.00470876908756344,0.00821358502180115,0.00689855161833974,0.0072129271285092,0.0221638389441886,0.0260546692452559,0.0225498533110182,0.0238648867144796,0.0235505112043102
"ES.05_9",54.06354,53.93992,11.2566323032255,10.8677328282975,0.180102782184306,0.0670732981754501,-0.369106236146179,-0.409409415770112,500,500,11.0638914410183,0.0111732838901233,1.0090587447907,1.08333333333332,1.03223207091056,0.939817043813221,1.32886868759,0.734042557613883,0.796689328191704,1.24111311608871,1.53114435513931,1.03774141590996,1.06707831803783,1.00142451301317,1.36405017770401,0.898192048877276,0.912406168453356,1.23634912823645,1.01596258512326,1.12219200908247,1.07180839922513,1.03269808666882,1.04025310813831,0.840247824976652,-0.73797918665419,0.704528564574656,0.812701891248834,0.00543791279450858,-0.0192817234296045,-0.0499054465907448,0.016323134967217,-0.021889245608171,-0.00824952409161023,0.0304510220098645,0.0158429819995223,0.0308620200563211,-0.741434047543111,0.710044785403925,0.689556784657235,0.0216535371550805,-0.0302481693865998,-0.0516375184343327,0.0191996669569354,-0.0239285691041091,-0.00896104246928763,0.0216777602045041,-0.000492406529877765,0.0308906555542064,0.18228548324585,-0.64216791533205,0.725171721933133,0.678700075968078,0.0134667289988391,-0.0199425724646564,-0.036628482120063,0.0223589745510664,-0.0131542628608664,-0.0126053026600631,0.0211286758078836,-0.00342430378600079,0.019962766898375,0.165423776207775,-0.0166512714499071,-0.0236817169781215,-0.0333762157181386,0.00748338360612451,0.00316702847492415,0.0457995287968559,-0.717027507236587,0.729754998144056,0.671026241687032,0.0100513333594248,-0.0149595831006531,-0.0323561178687671,0.025557836758394,-0.00675740672323325,-0.0140603535430515,0.0209197250144262,-0.00677211412200306,0.0174987961859235,0.163463683837793,-0.0182926264296824,-0.0262702155704213,-0.0324309342340443,0.00702764059998777,0.00164863706912511,0.0184385981112314,0.0463376639312945,0.0128402709234592,-0.010139827647394,-0.692230598281196,0.731410121062916,-0.0667015932493884,-0.06701385778193,-0.0580417765987179,-0.0648078943163054,-0.0625666477271117,0.0778748771395117,0.0781871416720533,0.0692150604888412,0.0759811782064287,0.073739931617235
"ES.05_10",54.11852,53.55594,11.1658942229091,11.056282670472,0.0312511949067331,0.0458896703387865,-0.302386655663527,-0.479213557508437,500,500,11.1112236114339,0.050631687352695,1.00160289086255,0.824684431983472,1.26267402086652,0.947648364534914,0.79663774457028,1.23725596469482,1.06447055064836,0.707308394876483,0.500092348425014,0.965168031386803,1.02917896706534,1.0049097717329,0.774396143802494,1.04853937275954,0.942181476908707,1.25670336331348,0.866140849023172,0.961224712137121,0.978720782376617,1.03033217683042,0.976346538642145,0.849267677110452,0.408342439075049,0.721849113786607,0.826111335378369,-0.0109776529864728,-0.0439227944108861,-0.0611416746066626,0.0152204894159316,-0.0430838808761233,-0.00386779374824138,0.0105967401082229,0.00630636972524805,0.0324731578930955,0.352519954772371,0.72913330054118,0.696047468344408,0.0102818213466195,-0.0510071512363786,-0.0556188592985433,0.0176853602394038,-0.0465089777230979,-0.0101177173566626,0.000965302864761346,-0.00298221541844565,0.0265131361361666,0.187839153729401,0.2851301482946,0.744834242562031,0.68728499289075,0.00468751204782828,-0.048107292727498,-0.0392849499547684,0.0237925776265486,-0.0414245542511022,-0.0178881234909513,-0.000482403573574955,-0.00256610124699027,0.0167686243194609,0.173808033655864,-0.0493503693282773,-0.0425399874987646,-0.0316591747356548,0.0150042504025025,0.00887007974350872,0.0152421701172985,0.246458793098343,0.751199312173021,0.685716691762657,0.00455723320572378,-0.0458133528464628,-0.0379698708067509,0.0249329415894719,-0.0413176380046258,-0.0182308532782227,-0.00014527025455714,-0.00338215994570985,0.0161380352968398,0.173412637426898,-0.0500119639511485,-0.0426554299735953,-0.0317152592684313,0.0148847207632336,0.0080222317615156,0.0116241400992219,0.00252379717418191,0.00820701446669684,0.00495030484038157,0.244094888567356,0.751288362202168,0.0367504474174066,0.0317264746980354,0.0256614535235516,0.0221810667949052,0.0219683175412087,0.0138812399352883,0.0189052126546596,0.0249702338291434,0.0284506205577898,0.0286633698114863
