"","Gr.1.Mean","Gr.0.Mean","Gr.1.SD","Gr.0.SD","Gr.1.Skew","Gr.0.Skew","Gr.1.Kurtosis","Gr.0.Kurtosis","Gr.1.N","Gr.0.N","Pooled.SD","SMD.ES","A_CSCIIMP","CG_GENDER_R","CR_RACE_B","CR_RACE_W","CR_RACE_H","CR_RACE_O","CA_CAge","CSES_MOTHEMP","CSES_FATHEMP","CSES_MOTHED","CSES_FATHED","BM_CMTHIMP","CHL_DL272_R","DAL_Persist","DSE_SelfEsteem","DLC_Control","DFS_FeelSchool","DEXP_SEDEX8","EEXP_DL97","EPAL_PCOPH8","EPEL_KMHSCPH8","A_CSCIIMP_1","U.TX_1","Y.R2_1","A_CSCIIMP_2","CG_GENDER_R_2","CR_RACE_W_2","CR_RACE_H_2","CR_RACE_O_2","CA_CAge_2","CSES_MOTHEMP_2","CSES_FATHEMP_2","CSES_MOTHED_2","CSES_FATHED_2","U.TX_2","Y.R2_2","A_CSCIIMP_3","CG_GENDER_R_3","CR_RACE_W_3","CR_RACE_H_3","CR_RACE_O_3","CA_CAge_3","CSES_MOTHEMP_3","CSES_FATHEMP_3","CSES_MOTHED_3","CSES_FATHED_3","BM_CMTHIMP_3","U.TX_3","Y.R2_3","A_CSCIIMP_4","CG_GENDER_R_4","CR_RACE_W_4","CR_RACE_H_4","CR_RACE_O_4","CA_CAge_4","CSES_MOTHEMP_4","CSES_FATHEMP_4","CSES_MOTHED_4","CSES_FATHED_4","BM_CMTHIMP_4","CHL_DL272_R_4","DAL_Persist_4","DSE_SelfEsteem_4","DLC_Control_4","DFS_FeelSchool_4","DEXP_SEDEX8_4","U.TX_4","Y.R2_4","A_CSCIIMP_5","CG_GENDER_R_5","CR_RACE_W_5","CR_RACE_H_5","CR_RACE_O_5","CA_CAge_5","CSES_MOTHEMP_5","CSES_FATHEMP_5","CSES_MOTHED_5","CSES_FATHED_5","BM_CMTHIMP_5","CHL_DL272_R_5","DAL_Persist_5","DSE_SelfEsteem_5","DLC_Control_5","DFS_FeelSchool_5","DEXP_SEDEX8_5","EEXP_DL97_5","EPAL_PCOPH8_5","EPEL_KMHSCPH8_5","U.TX_5","Y.R2_5","Adj.ES_1","Adj.ES_2","Adj.ES_3","Adj.ES_4","Adj.ES_5","ES.Diff_1","ES.Diff_2","ES.Diff_3","ES.Diff_4","ES.Diff_5"
"ES.05_1",59.31418,57.90856,10.1916185616128,11.2749524092149,-0.207722932101016,-0.265184566686377,-0.560147749834925,-0.0745487753003382,500,500,10.7469446992034,0.130792521906639,1.00613542082341,1.04917307282532,0.827985238113479,1.04290004290005,1.32690421381983,0.945887445887483,0.96750506691345,1.58046878375204,0.815514307059556,0.907459941060139,1.03304672558106,1.00540013611048,1.09983028850705,1.1076840602547,1.07777506985009,1.01255973276166,0.944961152899548,0.960366087964833,0.956268899050033,1.00503632107879,1.03464698893398,0.871790961044666,0.800848485478856,0.763496549165012,0.851532493486051,-0.0240980700826337,-0.0133855160500004,-0.00703670129162438,-0.00037324992377764,-0.0385024147020339,0.00418192791518488,0.00605167486932987,0.0299089813564795,0.012957401012124,0.848091987856374,0.767138996519968,0.731104952354066,-0.0333611072076544,-0.0139680250930238,-0.00193049085138821,-0.00409523711990805,-0.0200722027432332,0.00197005919950958,0.00670982379060449,0.0251835912081672,0.00335441963230243,0.170951706133519,0.827648769386222,0.779200083071413,0.724479699484404,-0.0391859142395472,-0.017037884095173,0.00634979506794681,-0.00408538320484598,-0.0180103182428562,-0.00204001095768089,0.00622858508700664,0.0234312076084028,-0.00317697612315482,0.160078233203114,-0.0443447696882971,-0.00433821280018392,-0.00211968027489657,0.0127410930230081,0.001603887272148,0.023979609687052,0.863657153502916,0.781737203430129,0.723055022820427,-0.0424100488226117,-0.0166047499271369,0.00786510102670598,-0.00270495575498512,-0.0170786405145395,-0.00115340140048085,0.00338167869829096,0.0212485772162696,-0.00352943539638592,0.155791591178594,-0.0457751339400358,-0.000720748177058181,0.00116927003989197,0.0116588780763578,-0.000534352882629502,0.0114841760832698,0.0304912828579568,-0.00648878479128826,0.0226555043130731,0.862996469422334,0.782588938509869,0.0745187127964117,0.0789147066067289,0.0770124712233396,0.0803630406292995,0.080301564172588,0.0562738091102276,0.0518778152999105,0.0537800506832997,0.0504294812773398,0.0504909577340513
"ES.05_2",58.49726,58.00234,11.1500753474094,11.0839827169723,-0.242972868233636,-0.442664951066197,-0.484078771233525,-0.4961032465496,500,500,11.117078148575,0.0445188918693923,1.00261896911308,1.13662368713131,0.929910636061139,1.16666666665455,1.11358043387415,0.788712555901414,1.07254380430692,0.495613126394895,1.36005886997295,0.954218382503321,1.06097149740527,1.00336706615803,1,1.14723411819365,1.09827711237953,1.11172221166437,0.9849162883812,1.10698372962062,0.991549382310387,1.02446822241475,0.962769827418343,0.878772085774906,0.216772238108428,0.772579874072534,0.868781899423902,0.00532311328085795,0.00648259257697409,-0.009390844912011,-0.00730842740523534,-0.0103170552419781,0.0081402272591652,0.0206192303265973,0.0289676300333559,-0.0363450977542068,0.257750420546451,0.775037830880416,0.764639556891999,-0.00569011174822852,0.00838607886743862,-0.00432744443700907,-0.0107594250854633,0.00115086146490951,0.00776772001605139,0.0208284525538913,0.0207615789487239,-0.0443850426310995,0.148379550900189,0.228876445517057,0.784127863873867,0.759780617292014,-0.00605629416761338,0.00577735139748287,-0.00693947838006087,-0.0109029438817636,0.00318587249151011,0.00911027203738476,0.0198317801796736,0.0206202258220645,-0.0450836625305343,0.148804379584748,0.00284066454676855,0.0203247594936677,-0.00202236764122039,0.0265386666180028,-0.00377777127197863,-0.00129650399347072,0.195520950255214,0.785170676750001,0.755314106440422,-0.00538433686640979,0.00847922864055592,-0.00637635842199226,-0.0100322304352286,0.00409689326625845,0.00785857220239739,0.0176097728511702,0.0162085636521164,-0.0507353448976215,0.145207638576637,-0.00428402179077254,0.0226822320266474,0.00245579621095444,0.0226624240758809,-0.00917102064261781,-0.0282089556402788,0.0242201997839487,0.0303361999735818,0.037172519547651,0.249212716216073,0.787655544188693,0.0194990298000392,0.0231850866839045,0.0205878237481308,0.0175874404805076,0.022417105725574,0.0250198620693532,0.0213338051854878,0.0239310681212616,0.0269314513888848,0.0221017861438183
"ES.05_3",58.9111,58.39122,10.8007385532932,10.8341429757798,-0.276056605700778,-0.260192888873424,-0.523282399300497,-0.194409869376422,500,500,10.8174536586997,0.0480593692751248,1.00245614320632,0.823943661978493,1.00000000000001,0.928942666883289,1.18765638022475,0.94933373866345,0.864801460059214,1.69409342296257,1.92472653080131,1.04449616626075,1.1105780715866,1.00261789396413,1.5587215331665,0.994242506127637,0.863354184359506,1.01850578255502,1.00513528578157,1.04760710549706,1.02280792010581,1.15429845635329,1.05246148796031,0.873463487772044,0.269034953942678,0.763382089824978,0.853598688434279,-0.013483125185275,0.0214596267647023,-0.0122076454343422,0.00942859300139835,-0.0271806242756599,-0.0271990939406868,0.0150704643777433,0.0345199648185048,-0.011999226925094,0.261446438315317,0.766975671543273,0.742313535776421,-0.0236656278103966,0.0196061905370506,-0.00912778751215624,0.00918504941743199,-0.0137092708993087,-0.0193023997184658,0.0129158178207527,0.0243905216723316,-0.0218920107119971,0.158989683931829,0.257384930479741,0.776938141940724,0.733406617419029,-0.0299212014043577,0.0208958445178645,-0.00793495844433152,0.00835327800084925,-0.0106885647314876,-0.0187347077031552,0.00754359319942546,0.0201590857048173,-0.0286682219976951,0.157142753551005,-0.00097751578758345,0.0246690689963305,0.00680614168048627,0.0402851612827719,0.0108717012729955,0.0215410431071234,0.259135541019367,0.779255892058807,0.732883155338172,-0.0260472055110648,0.0254466174425405,-0.00798286046221005,0.00948323617854096,-0.0102313843779978,-0.0192707726335409,0.00701085772008525,0.0189887012393585,-0.0324067342204943,0.15742712084319,-0.00371086052792988,0.0256084883306174,0.00796477737952533,0.0403944150836399,0.0116050411568185,0.0182577562650128,-0.0294300456034865,0.0479291029023856,0.000194074094144156,0.213967701379389,0.780509355820228,0.0248704512569196,0.024168944611568,0.0237934858424602,0.0239553178775083,0.019779858377975,0.0231889180182053,0.0238904246635568,0.0242658834326646,0.0241040513976165,0.0282795108971498
"ES.05_4",58.3397,58.08646,11.6765035511647,11.1676705987239,-0.198046226438029,-0.334864645638885,-0.4788318274275,-0.564082877389721,500,500,11.4249201700048,0.0221655815735903,1.0025433544828,1.04922471080482,1.01749597592554,0.98930435526653,1.0837942014408,0.8381128585642,1.00861406541764,2.53986979846852,2.12914068576864,1.03785690283014,1.00725700157648,0.999912452951984,1.18384042637427,0.900931722615068,0.876769935764189,0.888916145017354,1.04864582261,0.995080506261422,0.983008755568826,0.922653446466576,1.05326654495584,0.880671030259029,-0.0292792476802371,0.775551362652722,0.85895134859197,-0.0145881245711994,0.0225725227321209,0.01700013370918,0.00590355260081254,-0.0313055968296049,0.00279734327509978,0.0147635372152169,0.0255390275978656,0.00549810635020939,-0.0444242950010331,0.77881670470387,0.757431719511674,-0.0227027329506842,0.0215273284028469,0.0215681922607372,-0.00170815260865255,-0.0187228560651254,0.00178279311889862,0.0153995077247345,0.0179019011406109,-0.00667918983911582,0.144444918541464,-0.00917992248355138,0.786713013069161,0.747975729268174,-0.024220191314154,0.0256429327136466,0.019199810823153,-0.000806162678765015,-0.0157560413195235,0.000235318754711656,0.0114663067736291,0.0183959224721373,-0.00912563434729291,0.140308185354261,0.00831775692693663,-0.0351530990853906,0.0188777131045759,0.0238044942015399,0.000209059192793971,0.0131805265625732,0.00871360562197441,0.788432868908908,0.744568661222014,-0.0245566300460461,0.0308366883865101,0.0192429294665635,0.00221323042941672,-0.0110857404156861,0.000250288407692384,0.010448991536192,0.0115604804520584,-0.0149770598890853,0.134441375418068,0.00496141188595106,-0.0330492682064976,0.0211536726236977,0.0218207273868193,-0.00167826716670452,-0.0185988847936981,0.0360221850043661,0.0348454878796007,0.0120130229373535,0.0532654507998841,0.790890987555099,-0.00256275293346097,-0.00388836808835353,-0.000803499923583933,0.000762684158166049,0.00466221645379443,0.0247283345070513,0.0260539496619438,0.0229690814971742,0.0214028974154243,0.0175033651197959
"ES.05_5",58.8025,58.1946,10.8943794755973,10.5787269066713,-0.267561010434605,-0.33834365766114,-0.493611224922504,-0.418758014507619,500,500,10.7377131439671,0.0566135444157906,1.0026078286179,1.16433143054683,0.746795381047582,1.31488433977985,0.921503983673259,1.00000000000001,0.843510930924982,3.30702074039215,1.5359361049754,1.03417033698096,1.03539953808327,1.00180147274597,0.719372002760311,0.999463183676299,1.02245409263236,0.998842638583037,1.06359775486525,1.02540462358767,1.08163036358093,0.99629574912068,0.999651046844464,0.864198110135138,0.34472288834054,0.747490248144647,0.847694685144005,0.013274724235908,0.00754614192537922,-0.0110099287499254,0.00741073098712166,-0.0167093492902388,0.00646093823183041,0.0179088941702845,0.0185878419850168,0.00110309853259745,0.283058784026118,0.749414255632622,0.705312924239992,0.00415419733440618,0.0112499416522523,-0.0110819006167092,0.00432463750196029,-0.00136898422701141,0.00206942282637046,0.0172107706182184,0.00701084675239188,-0.011803025236353,0.197893274167299,0.319948208651428,0.764686877864352,0.702332343615594,-0.00331696038695192,0.0217162324629901,-0.0122500102952626,0.000826035803680276,0.00361664442689906,-0.000930076352326611,0.014665607685243,0.00433763897162292,-0.0192987666148,0.196438992117568,0.00978091984326724,-0.0030299630213443,0.0472213356439323,0.00863233552378851,0.016627102850846,0.0402741504230285,0.30778208559531,0.767625046309197,0.69595867277015,-0.00446253537513478,0.0279240516677171,-0.0109275027413873,0.000279954797327875,0.00795236274851649,0.000835440351437414,0.0124937496194344,0.000858010320143666,-0.0231287090247095,0.193047297085291,0.008128588640151,-0.00388143667443697,0.049857158855937,0.00748675597531834,0.0205064437907098,0.0228234786105881,0.0161938475175066,0.0386766789007666,-0.01870653152479,0.294295414765638,0.76952674734756,0.0321039390528159,0.026361179538974,0.0297966805745028,0.0286636531884105,0.0274076435847968,0.0245096053629747,0.0302523648768166,0.0268168638412878,0.0279498912273801,0.0292059008309938
"ES.05_6",58.59816,58.12638,11.3899900773585,11.2183179492659,-0.26356068652036,-0.330398922154799,-0.359418947444669,-0.518887204651046,500,500,11.3044798989858,0.0417338970227485,1.00176945825376,1.10987153482072,0.962826660718942,1.01069518716577,0.982122425629291,0.894642574940143,1.15835363929716,0.871602405415876,0.754639947010314,0.963016668885797,1.00238473730272,1.00511351853207,0.999999999999993,1.03026386947675,0.985360510130839,0.931809509642638,0.9700494978959,1.02451565914379,1.00833292648179,1.00227976177327,1.13712237008875,0.874468464575963,0.279606496266773,0.765058846187524,0.84375424666114,-0.0148984383420356,0.0394790644427321,0.00240704894836551,0.0190913057645687,-0.0553354903788548,0.0117515036890048,0.0252373155919319,0.0485093115652112,-0.0297020122588145,0.379052051813374,0.77380659543578,0.701371789001539,-0.0269101333212957,0.0424604056951001,0.0105275575311027,0.0118150708849911,-0.0374767978980831,0.0183775317388776,0.0247641655934498,0.0384027006299193,-0.037641081294097,0.195322623953658,0.272402930294106,0.788188854565164,0.687763685743914,-0.0321360431591175,0.0401013509597722,0.0139390534880373,0.0107268295381431,-0.0315503862614677,0.0141374750262972,0.0226216909614786,0.0329208766188287,-0.0481934451112428,0.191892607766341,-0.0234548827214585,0.0104533918588815,0.0154988577448061,0.0329527437284644,-0.0160667606224804,0.0439997268510909,0.268883195055486,0.791107580138687,0.680372081221061,-0.0359453059822504,0.0412676248629989,0.0158809659604026,0.0121520437580129,-0.0259449754472573,0.0139181668542174,0.0206498188544325,0.0279337387166465,-0.0496473824788206,0.189950776374421,-0.0217052532840764,0.0101887541107035,0.0188763125814305,0.030679638757162,-0.0125754641558923,0.0223098161056351,0.0510787305769194,0.000904806266344091,-0.00489657688215101,0.276518590191587,0.792596073953682,0.0247341318455402,0.0335311359036856,0.0240969007621966,0.0237855432057171,0.0244609741149079,0.0169997651772084,0.00820276111906294,0.0176369962605519,0.0179483538170315,0.0172729229078407
"ES.05_7",58.38048,57.83358,10.9992402802687,11.2524515691574,-0.303232567800508,-0.349893131537823,-0.513286861442302,-0.575716134473213,500,500,11.12656625063,0.0491526305313675,1.0010963950948,1.02435223066432,0.802130898319353,1.40760869211762,0.869536855852746,1.17742030862511,1.18084068871482,1.15162508092402,0.590347233386587,0.992944083636551,1.00594131681337,1.00373182073947,0.896725131989779,0.878357202401645,0.852103844816359,0.890695842356264,1.07928864882704,1.02573128853301,1.03625452649051,0.985368340726864,1.12916201896494,0.87928722763212,0.428405837840109,0.773722474849075,0.852135135380367,-0.0168134240271662,0.0191385357042853,-0.0172958081318606,-0.00570130694002179,-0.0341157186663369,0.00965711450307052,0.0231888599866901,0.0319906177770772,-0.0140236864983334,0.448720202272502,0.77867470548755,0.722299326536422,-0.0274934704807552,0.0235346591836701,-0.00949405452202179,-0.0138553953494975,-0.0194391663640042,0.0132739713693663,0.0254872490340091,0.0210895186064215,-0.0235235184597759,0.177070033221667,0.373700124948613,0.790217924535034,0.713609893296217,-0.0304647531915147,0.0252982935830545,-0.0104935237872653,-0.0139554840990365,-0.019113755716538,0.0127908098843405,0.0236860350335243,0.0202087984654271,-0.0297941567644633,0.174936751831549,0.00757262311716514,0.0242536144234951,-0.0147294488303074,0.016258837631698,0.00766668369287718,0.0161062349396371,0.385729842435756,0.79127800275704,0.705781613918969,-0.029412086329846,0.0307902905924529,-0.0128504315574506,-0.0130597574469128,-0.0160053619390041,0.0112123387216576,0.0228176236303234,0.018033462586442,-0.0350691106044267,0.172076074121957,0.00729923619396762,0.0234164596801684,-0.0139385329703671,0.0167815238741744,0.00824562298795017,-0.00245545231010838,0.00817129469114836,0.0484229098382314,-0.00995856659756511,0.399760518510216,0.793325419243387,0.0385029692171069,0.0403287224616214,0.0335862939680472,0.0346674646739208,0.0359284715073332,0.0106496613142605,0.00882390806974612,0.0155663365633203,0.0144851658574467,0.0132241590240343
"ES.05_8",58.39134,58.35736,11.4152992478619,11.5782411603462,-0.238525685403486,-0.381871469109448,-0.519179275560596,-0.487493320001993,500,500,11.4970588692363,0.00295553848914551,1.00242057559955,1.15555862831746,1.15840608276844,0.850015935818969,1.19379844950823,1.16906170746218,1.23794444050392,0.87017773796504,0.778638134057489,1.0187041012383,1.00143321531065,1.00328657983983,1.35014004788821,0.964011760839473,1.08671127691851,0.919844467742788,1.0198215172779,1.00487748270502,0.970692461818436,0.951389326726908,0.957071337012658,0.867447762097709,-0.230230393556832,0.752335515770032,0.852558101461228,-0.019697749787635,0.0132451247953937,-0.024564662679592,0.00695621449845383,-0.0273393353556817,-0.0170143935699681,-0.00116443437320421,0.0587795712821654,-0.0340363146599589,-0.166697985177805,0.757341421039781,0.708320993494329,-0.0325414960215067,0.00802790437951857,-0.0169044342069154,0.00274625085983242,-0.00937908180306937,-0.0187472463581455,-0.00367972421989122,0.0508672342373113,-0.0411276291239644,0.20305267701562,-0.222815075480272,0.774025311760881,0.702319293842773,-0.0351416542222724,0.00910046453190167,-0.0174993087000723,0.00176337450530455,-0.00390738174638922,-0.0191726711128258,-0.00418628250309043,0.0456897899850629,-0.0485226064607117,0.198850381596882,0.00469492694025072,0.0151771285348782,0.00383786812875393,0.0121395432173852,-0.0103658663726938,0.0404773307892681,-0.215986893081221,0.775613525406809,0.700890104368744,-0.0356844468291651,0.012380800854994,-0.0166028995408903,0.00274567362198252,-0.00185116010439611,-0.019502290205378,-0.00498597825403536,0.0406208588316241,-0.0528256801603784,0.19070537186323,0.00437901451953486,0.0144562491777433,0.00735760284645234,0.0108367025264161,-0.0105881194149632,0.0123970188136155,0.0425029313484946,0.017147074465046,0.00702729145847073,-0.178009568479343,0.777300161636919,-0.0200251556659312,-0.014499185145851,-0.0193801804456684,-0.0187862735624635,-0.0154830527097377,0.0229806941550767,0.0174547236349965,0.0223357189348139,0.021741812051609,0.0184385911988832
"ES.05_9",58.81414,58.47692,11.2837700789581,10.4355364863103,-0.329624137826429,-0.296450935184982,-0.378110930137908,-0.325549242515895,500,500,10.8679319318788,0.0310289024732329,1.00005229408809,0.761262779521545,1.06788174999143,1.05321866485013,1,1.35956132817871,1.1364077701214,0.971055533242673,0.777988637933656,1.01369116192152,1.02935151283796,0.994222975699207,0.91919844861106,1.20923420045799,1.2441256037561,1.03218743549591,0.872838110574601,0.924693743167839,1.02870849930134,0.970218769038017,0.940863383120967,0.863197068112764,0.331934976785484,0.745350241577769,0.835487522079993,-0.0146869883473936,0.0248402091554828,-0.0140458791962093,-0.00906253309377869,-0.0359155721103207,-0.0111507176132741,0.0103104009023926,0.0520958326513449,-0.0152774749995605,0.340801126634383,0.75131053260384,0.702598119379036,-0.02551192972555,0.0228715875264612,-0.00903599242183924,-0.0127137019346861,-0.029301069030925,-0.00544150566096511,0.00577320590258005,0.0472784728041996,-0.0348375199144616,0.184705187222419,0.456858942106355,0.764626435330654,0.687511089120319,-0.0370288809546315,0.0282250724791096,-0.00860970324523166,-0.0158551945760217,-0.0178870716843062,-0.0115706546949338,-0.00142660293124294,0.0451684065510928,-0.0493234536961449,0.172185507333391,6.51272995420537e-05,0.00575559850681819,0.0111134299278301,0.0444420917626136,0.0201368223490057,0.0540751846879655,0.47457712109448,0.7693108237702,0.682586110008314,-0.0389490388388091,0.0311776625572489,-0.00814312223362078,-0.0155570330647554,-0.0157027302021676,-0.0105649168309247,-0.00404390998507841,0.0434991417483655,-0.0545440158384426,0.167733548139465,-0.000369672284696324,0.00377105962704186,0.0123810528257695,0.0443049776963311,0.0195225771594071,0.0333522830920944,0.0296936757211341,0.0183323648174305,4.99624504844825e-05,0.437124737794356,0.770334720602479,0.0305426072656768,0.0313584156369909,0.0420373392996927,0.0436676567417952,0.040221519653812,0.000486295207556074,-0.000329513163758038,-0.0110084368264598,-0.0126387542685623,-0.00919261718057916
"ES.05_10",58.79704,57.97938,10.7934353628613,11.4749219030441,-0.293073608985501,-0.372870594408523,-0.587229265237838,-0.114465290377112,500,500,11.1393913570991,0.0734025741432376,1.00923004608827,1.07496251874062,1.15003750935815,0.978892266126308,0.796747967931629,0.932572147802013,0.772593851096626,1.66794233201167,0.950881326674466,1.065601032254,1.05977879394682,1.01140498462753,0.812818209422621,0.883330248939978,0.698757229462654,1.19289391202456,1.0939958364778,1.0507175305444,1.09309151984216,1.18469139475296,1.03108215356842,0.870383250399437,-0.140733114084683,0.757063092519881,0.84037085146065,-0.0138079798276717,0.0427436346684528,-0.0153721629436568,0.023691630556793,-0.0412679789710109,0.0177598201093786,0.0324287509648749,0.0167138213991815,-0.00860101818509347,-0.18390614440632,0.764421080822116,0.699899649558146,-0.0245529817405189,0.0466915843078583,-0.00240346769686711,0.0171454698265152,-0.0253181767381057,0.0226921158393012,0.0298999108441276,0.00364196150902069,-0.0194119870917086,0.199600722950526,-0.251663152183848,0.780251333383515,0.69234872329374,-0.030997513229657,0.0473563543220423,-0.00177555466648744,0.0158985107504849,-0.0244154607726803,0.0190660920456993,0.0270130652414089,0.00224528875141269,-0.0244379576376,0.19392494703777,-0.00568276574140133,-0.00451555368297609,0.0182856080680766,0.0328006510394818,0.00602224756751444,0.0181629024406936,-0.249825169782444,0.781678695737271,0.685769590445956,-0.033709988887923,0.0504711991353192,-0.00321091135895407,0.0172183143008882,-0.0193590564977413,0.0183545576927104,0.0259525941358003,-0.00258845792313601,-0.0291177088136563,0.188656468103847,-0.00703734916996707,-0.00460348505017537,0.0217552177567035,0.0314328236517166,0.00500887886117277,-0.00836235377735365,0.0444909240459617,0.0177724996845244,0.00301316376503255,-0.292152681173199,0.783386236816438,-0.0126338243781151,-0.0165095325687716,-0.0225921815758331,-0.0224271831174359,-0.0262269877956134,0.0860363985213527,0.0899121067120092,0.0959947557190707,0.0958297572606735,0.099629561938851
